round,alpha,rootUp,ComAggHash,modelHashR,modelHashNext,auditRoot,sigFinal_len
1,0xee08e7366f752961107eb6a95cc669dcaddbc3ac69932842146544cad83a007a,0x0b755b3409fbfced8f0272cff17976f4b6fdafbc78d1fdf26b4d9ac46576aede,0x9d567c5535051d196769552ac3046efbf51cd3f5126d76c4003f1e49d9613e6d,0xbd170a15f3413ddac0da51878220ea053f21e2cd8a008095483f3790cb4ae1e2,0xf5c3e48ab8bf46c515b979e6fbc86921a2e9d2dc5916b9a48af1c615d317bf62,0x412840fff2e772ce0e09f6fcaf0c7b02b03f668fc8c33d5ca84ddafad22528fd,144
2,0x7168bd8d0daada1cd5077910fd4c9aa461a559c510773eeb5c188f5af32ede6e,0x2142b3177c9591678f42d38ec329b14161322be608eedeb11678ca749021f6ba,0x380aec6fce915dd02974915f73c2553cb453b570f3654a8e36d5f1305bd72ff5,0xf5c3e48ab8bf46c515b979e6fbc86921a2e9d2dc5916b9a48af1c615d317bf62,0xd3ec30b25210819fc7777b3024140aca83e6516de87aa69910f013980a4d2a50,0xc64648bf4fb16d7f6d6dc42372c62936bb91f280cf5e9540d01429cc281d0615,142
3,0x87b9640dc8be5b30c1ad859f424116aa589d43cfa7e146af89be3db3199fdc13,0x6673e4ae2748f5325b425c78403fab83f4fd28f9c284a0102afa2123fbbbc99e,0xcf085b373e5ccbf6d14f5e8b5bde9568a6acdc925c1edcd91487a8d71c886701,0xd3ec30b25210819fc7777b3024140aca83e6516de87aa69910f013980a4d2a50,0x34bd971a1ee7433a4567bacc0c7581598abb85eeca22b13267900b2cd0d8321e,0x9c1f676ee9809424f3e5a98148bc5cff5aa84bd80b4102a785c9e257ffc3f467,142
4,0xa31dde1b6ca74ef0c729581d4f06eaccbb315bdf9b53ca0217f7a12d19785c38,0x1a47a8b9daa6f3a37e3893e7031a0c532564e984e38051566e1287c1dc648bcd,0x8a86fbacd2dc6c49dd43ab2a5fc0bed48fe192f835525caf4a4514a30ea263e5,0x34bd971a1ee7433a4567bacc0c7581598abb85eeca22b13267900b2cd0d8321e,0x15e58adb147b0e0b6d13aafe41b0e2515e10b66588e31a524e4020e5d0c55f44,0x464d2640fa98361dd54c4174b17937a06f4d2fd74cf0ce67ac33700c1f9859b5,142
5,0xe4506a8e664b8391202cc21aeb3d58abcb38ea43cf8367125d300398ce5f5bfa,0x755ca6c3b7669fac679c1428593e0436a7a057ae81fca9891d6f05a74cfa9342,0x4efe1ef79a564702be283ea5646d937b0926380ee620e229c8f7ec34cdb3c179,0x15e58adb147b0e0b6d13aafe41b0e2515e10b66588e31a524e4020e5d0c55f44,0x76ed9dbf9fc50394124e36b1942a1975f1080305a5a1ae15b45f74553533bf06,0x198d46baa788a1b95486956ea201adfd093a2176f4722eca9bcc093f57edf4a5,144
6,0xc31a1141a52d23e67fb81132b3b424507ef1303dca89bf10eb086baf1751d9dc,0xfb8cf3c512c1744469924b792d2aeb4fd9084e5c55e587dd254effeb3ea5b546,0x646e305381d09f9a8487f93e7c19227388953be2d9c6c64b7a226ad9f95d7519,0x76ed9dbf9fc50394124e36b1942a1975f1080305a5a1ae15b45f74553533bf06,0xe3b3de1504f1fb257af726af49e3db934068ef511c9fd86e2fba0b6ddecdf485,0xafdf85bc4c52b4eccc82dabe786aa1243275031ec9c7a464980b9c72d9e1474c,142
7,0x14508b628a3c598132303eed963f6ae2a6babf189e568516873b4f4dcbc516aa,0xaa6d4162ceb1c80f0594aeb5cb7b9f40a0a832f96182e03b18a36c0caf519bdd,0xfa0a4fca65d5d5371f15114c380f6f6872f02fcbf691141d4d4b2b57c7fd1f4f,0xe3b3de1504f1fb257af726af49e3db934068ef511c9fd86e2fba0b6ddecdf485,0x2d1426dca3d58a56cc987116090fe94478fbbe9c3f418515b91c8b2bd04da6d9,0x537b8e277d5324c5ccd2158deb7f7d8ea2e11ec160eebf6210aa2cd22f18f477,142
8,0xff91231a0bfee186b3aac99d5f76593f076012aeaa1ea5412296fc5ad58ebb3a,0xa0471222840322d4efb61525eaf7a85d68a8281af1c0501bb2fa909209772310,0x9a5019becfbaece0544765d2ede290f14437f8cd012e1c529250dc932808d2af,0x2d1426dca3d58a56cc987116090fe94478fbbe9c3f418515b91c8b2bd04da6d9,0xdc07400481359579b86fd2018ee1f9299f3ab34bad17dc9cb7c2e20d33bdeaeb,0x0932b596acca06c69545325ca581f6a5cae252d143346b8a3d1e4569b3fbfaff,144
9,0xc24133695809f7ffe9d62059d2ae558d08d2be347ffb8f5f0a4b88bfe8194d36,0x0d79ef27958c94a891fdd3e7d4a1a0fd15872d0d58116eb601c3460352ce9508,0x3361d657853ed2abd1903a679d5e6528fc277e9f124b1923a1b70769869ffa5e,0xdc07400481359579b86fd2018ee1f9299f3ab34bad17dc9cb7c2e20d33bdeaeb,0x467859b1172a1f9712620d12b38e3394f1e44efeec9a2894fabee67f87fd1263,0x62153811535f591e79773c4e5bd48fee02d5e0fa922d7fba32ee89a88cc44cea,142
10,0x5e020eb1ed72c061a2933cdc52d917abfc645472050f6ffebe4dfcbb4aa9c7ba,0xde48da94cef3b8aef3e8323a024a8d3aa00d20c19e9ce3528012745c510f014b,0x7b4c381cef3576635d7205052d50b8b55e98d54577a9b6412ad53892948234f4,0x467859b1172a1f9712620d12b38e3394f1e44efeec9a2894fabee67f87fd1263,0x83336dc395f655b6b405bbcc225ecd83819a7ac094616868e7cb86f70f127741,0x7cce932462cfc9115c8b69feed9ee3f9afaf9e75ba85fdfea3b3ac902d3c3685,144
