round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
0,InitTx,5225b4ed768368c0092e0531306e098d04f76858899b9f69b89b4233953e2b2f,106,82006,0.04439471662044525,1
1,FinalTx,d8a786bfef4333ab38665db1542a2f58b1ddc5379683eac10793460ce5282287,107,67541,0.036580637097358704,1
2,FinalTx,1c63fc5041e6796426c9b05d15d21b13aff77add39099f575423a17d7240e996,108,50477,0.03795371949672699,1
3,FinalTx,ffe1e26def64661424ee94c2f1f29e1d2181d99dfd065ccb4b9b155d8ef310b7,109,50477,0.035103119909763336,1
4,FinalTx,4ce9b4749543a5ab55439c864ceb93d485446e8d9735a55d03c591ec00025cfc,110,50465,0.03665316849946976,1
5,FinalTx,840871365ce62b97ba6ec2a53938a8354e480dde833849e966e73877ef041906,111,50465,0.032903075218200684,1
6,FinalTx,969f3474ccdf54bee7672558ce20664aa8f5412b5a5ce5cbf4647812e09309b2,112,50477,0.031570784747600555,1
7,FinalTx,0fba2805e1eb40e406480e59634e99a5975294ddff49c1bfe4648fce144a886e,113,50477,0.03599328547716141,1
8,FinalTx,e1aa78f41948a1f51fb6304bf03c818df6b8a2f85643cc8eab8a0fd779aa1e70,114,50477,0.03682130575180054,1
9,FinalTx,4305aca9658c87c89f9ee1de430f47251818757918cf7b529acfae9783131a4b,115,50477,0.03491857647895813,1
10,FinalTx,1d53bf507a24c3f946f5aba2027c6fa1e6645b6b3a993973c6311177e417125d,116,50477,0.03641290217638016,1
11,FinalTx,1a997d4f3c6d3fa659e827b0726c516fa41b6fd6718fc572380172af9d110ef4,117,50465,0.03628700226545334,1
12,FinalTx,d5c2151ee3ed31f710a8cecb6cbbee72aac8f06be6ba1c86772e80b7cd5d17f0,118,50465,0.03743559867143631,1
13,FinalTx,01a560d399d83e60e3291c511139c4e685d093028a7787caee566d6d23ce94be,119,50477,0.03533512353897095,1
14,FinalTx,ceba74c239d2141af830ae2a8926a8ae9781f82e5d0bebf915ae58fac83ac40c,120,50477,0.03630305081605911,1
15,FinalTx,f9f46f3fae92875961eb014c7cd5eae88437eb8f55b00c1726d68581a8386eb1,121,50465,0.03470978885889053,1
16,FinalTx,bfc8f67bc8c5d9d62e89109421ba4b75d564439e0787ce4d3ee057324f393bb4,122,50465,0.037527598440647125,1
17,FinalTx,9dec32441b3c4b689b368701e6b343ed3f813648cbbb0370b48933a5dbfe2bd0,123,50477,0.034801460802555084,1
18,FinalTx,4d570894c09f46a98debf117e2af790d753beed48839f97984be8d0f0136f684,124,50477,0.03576520085334778,1
19,FinalTx,47754568d0ae83621dd916550945391bda70dff001ca0ad2a69dec4704613e3a,125,50465,0.030284173786640167,1
20,FinalTx,1e289a025b2e094f86ffcaaaa769bb9a75b9802fde137e52790c1678a40e53cd,126,50477,0.0371549129486084,1
21,FinalTx,5db75f4bf5e997c2e90c22c78bbb8d328503052c5819ec644540fc9cf107669b,127,50477,0.03575652837753296,1
22,FinalTx,587004834a03896567a43bd0a56b672df8046e27ae72ec6f41d701d49930adbe,128,50465,0.0377124547958374,1
23,FinalTx,e87fcaaa45d00acbe6b7a7704b8e1810c58576a4c7f531df75ecda882339a65b,129,50465,0.03313746303319931,1
24,FinalTx,5f53f354f964bdfdec3f93d67a938fa2a2afd2e8721dfda879e399a3c5c1004c,130,50465,0.034148961305618286,1
25,FinalTx,9754436ed62fddf645a31f218e73fe1e9d41c579777d299755225e761e9985bc,131,50477,0.0359404981136322,1
26,FinalTx,cb864c087903251b1375399e49ee01d1930f66259fecd990503cae18471988d3,132,50477,0.03576027601957321,1
27,FinalTx,295ff9d7ff3b9dfa3bcd7bace2f6c440dd4c12d7a160542b8ee4d7aacdbca6f2,133,50465,0.03519318252801895,1
28,FinalTx,0312b35ff0e315e9fb5190feebf4aaeff28325c80980f29fc2c48a86e23a998c,134,50465,0.03383665531873703,1
29,FinalTx,f5918a4a08c99126b33fe44b9b49ad72626c4fc37432ebc6a3ca348ee9df18a0,135,50465,0.03511098027229309,1
30,FinalTx,a6617126992a9504c8a4b9a387378b5f87ff50b5971871665ff0ee00b08011eb,136,50441,0.03634569048881531,1
31,FinalTx,193ad29e8bcc2ecac82a06e66e5af05397b8a1918f12846551f96a0fabc02e1b,137,50477,0.035123810172080994,1
32,FinalTx,7b1e4f8f21b299c463974389e62000ce0925f9ffe1b393f9019f313a4cb978f8,138,50477,0.03544772416353226,1
33,FinalTx,b8a51e7afd766c1e545ea74d4c05c3fa790d9931ee6cb4c4841433ca31fd927a,139,50465,0.03488735109567642,1
34,FinalTx,3fb07c4c92e1988a718947930a411beb7938ea8f6c7266a6360489570daebe0c,140,50477,0.036774516105651855,1
35,FinalTx,d9b2f4a98f4090187c164a4e75f4429f16b8ada28affdb47fb3bc68c5698ae3f,141,50465,0.02887365221977234,1
36,FinalTx,d47a5a15a75ffd8d8f73b68220fbb838f73d0c9a73b7bb2a196992a760e3a29f,142,50465,0.03835578262805939,1
37,FinalTx,c534370b7b067a6e0043d676deb4d6ae2225907bb6ba634ef3af2f205d569b5b,143,50441,0.03272344917058945,1
38,FinalTx,62c6fcabc46fc28b9a4c95afb54df402b6978c6f018ea0eea63efe1e3dcfa2ba,144,50441,0.03533484786748886,1
39,FinalTx,297520748b76f8d3647c0912cd6be2411ed0a187b99e5e973e2b82a2c48bf2de,145,50453,0.03115743398666382,1
40,FinalTx,93ad6099cb1475fe73d2017508bedcea39487288c5941a93b5940cd8a7841d4f,146,50453,0.034425124526023865,1
41,FinalTx,42ce7dc997349ec0940bd4b1e0fdedc58bd4b0ba99e020ec6183096108a64303,147,50477,0.03600449860095978,1
42,FinalTx,4b15183c0821635c99e3a6a8ba8560ef3f55835891ed809bb6ef74080e434d84,148,50477,0.03533750772476196,1
43,FinalTx,aace2e03ab216094e8b7b72b39be43174acef0a0515a6e3b1c048be1dbca39be,149,50477,0.04424707591533661,1
44,FinalTx,847e7564e9c9895b24f5be10f47f0bc823ed77192674c27816d674bc3c30a781,150,50477,0.03302820026874542,1
45,FinalTx,2d17c47d99c9367384471d548c09418c3e1cb2ae2823e96fbaaaf71bc18acb42,151,50477,0.03633245825767517,1
46,FinalTx,8ba7a768e94f0a24d2b8ff586c1a7a9a9fb46b4c5779665b7341058a7e6b132f,152,50477,0.035067252814769745,1
47,FinalTx,49433fd763031b28e6a6023e4e3f91cdbee1a99f8c2637a03d27abd971577e95,153,50477,0.035441167652606964,1
48,FinalTx,cb3066e32491c38b26ff4b2be9204397bb71a614139fce65497bc405ff98100c,154,50465,0.031926676630973816,1
49,FinalTx,5621ab3eaaaa9fc5b961c8c792ed97ff6d1d734e63b43243e2e372e47bce6c06,155,50453,0.034605540335178375,1
