round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,52,1800.1013589277864,error,,127.0.0.1,9300,25517827.506861545,25519627.608220473,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.003166552633047104,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,25517827.510916784,25517827.514083337,1782833713.8728826,1782833713.8729343,5.173683166503906e-05,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.001998625695705414,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,25517827.514848266,25517827.51684689,1782833713.875728,1782833713.8757806,5.269050598144531e-05,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.0019274316728115082,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,25517827.517441098,25517827.51936853,1782833713.8782687,1782833713.8783212,5.245208740234375e-05,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.0019212029874324799,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,25517827.519921806,25517827.52184301,1782833713.8807516,1782833713.8808029,5.125999450683594e-05,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.0019501037895679474,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,25517827.522402987,25517827.52435309,1782833713.8832204,1782833713.8832743,5.3882598876953125e-05,,0,network_transfer,
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.22812677547335625,http,fcc25ba0a8296bf00cb57e47a7dc4658a427fc7c55e6fea1bfd8f35426924078,127.0.0.1,9200,25517827.525040094,25517827.75316687,1782833713.8858886,1782833714.1016152,0.21572661399841309,,1,end_to_end_with_processing,
0,CS,C1,CS->C1,InitModel,1,1,,622691,0.038101404905319214,http,853a5a1ebf7666dedfb4e775fefbfcd0b6933ba33923691694aad577dedda123,127.0.0.1,9401,25517827.788404234,25517827.82650564,1782833714.1547863,1782833714.1854832,0.030696868896484375,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622691,0.03591229021549225,http,5388f92d89b662d64cf637425bb4b5226be96e947701f2234b23e41584387333,127.0.0.1,9402,25517827.85306499,25517827.88897728,1782833714.2196047,1782833714.24794,0.0283353328704834,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622692,0.03391152247786522,http,2ab891693f06a78d46c015811ce4b349bbe06ff7a8a8588647c17dad0661f1d1,127.0.0.1,9403,25517827.91742307,25517827.951334592,1782833714.2829084,1782833714.3102944,0.027385950088500977,,0,network_transfer,
0,CS,C4,CS->C4,InitModel,1,4,,622692,0.03574156016111374,http,98cad469906cdf87046da28181b7c5af659f740a8d5e34b25c18cc2ce59462e3,127.0.0.1,9404,25517827.979845792,25517828.015587352,1782833714.3452604,1782833714.37455,0.029289722442626953,,0,network_transfer,
0,CS,C5,CS->C5,InitModel,1,5,,622691,0.038045383989810944,http,527facf1f482a262861db020fbd1103eb06aef68ea45abeb16abe98d4d6e5168,127.0.0.1,9405,25517828.041954435,25517828.07999982,1782833714.4083602,1782833714.438983,0.03062272071838379,,0,network_transfer,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.23463184759020805,http,246efb08a4beea6121164909d195595d0ba5f47416059cd6f89135c02c716e89,127.0.0.1,9200,25517829.605689712,25517829.84032156,1782833715.9665098,1782833716.199199,0.23268914222717285,,1,end_to_end_with_processing,
1,KGC,C1,KGC->C1,MaskMsg,1,1,,23015,0.019983436912298203,http,98ffdbf3736ce4314b4acdad7fc6f5c04479dcdfa4d32e2bc7188af77fa45bdc,127.0.0.1,9401,25517829.65677762,25517829.676761057,1782833716.0181296,1782833716.0359023,0.017772674560546875,,0,network_transfer,
1,KGC,C2,KGC->C2,MaskMsg,1,2,,23009,0.020606905221939087,http,37ff45cea3cc3eeab5f0ea1c8215f465df1712de1b47151c09e15c3c9d08c06c,127.0.0.1,9402,25517829.69433982,25517829.714946724,1782833716.0552757,1782833716.074024,0.01874828338623047,,0,network_transfer,
1,KGC,C3,KGC->C3,MaskMsg,1,3,,22971,0.019884292036294937,http,246de3e237d9e2df5cb967eda67385bac1cf7490a67896afa39789716bc91e71,127.0.0.1,9403,25517829.73706312,25517829.756947413,1782833716.0980506,1782833716.1160433,0.017992734909057617,,0,network_transfer,
1,KGC,C4,KGC->C4,MaskMsg,1,4,,22962,0.01899111270904541,http,9aae8fcdaf1f14e316da2462782e19c7586a1de6fc5b5b5b79cd8794f67957df,127.0.0.1,9404,25517829.779989544,25517829.798980657,1782833716.140971,1782833716.1581101,0.017139196395874023,,0,network_transfer,
1,KGC,C5,KGC->C5,MaskMsg,1,5,,24019,0.018848847597837448,http,a42073ae989001a1f0c86f1c29661a616aec66a1596c141b5478b33230364baa,127.0.0.1,9405,25517829.820316516,25517829.839165363,1782833716.1812572,1782833716.1982994,0.017042160034179688,,0,network_transfer,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,24.581644915044308,http,ea251b120dc78c649661a394b96cee74db4b3bda5f447fc3a8f114bd5e6bdb77,127.0.0.1,9401,25517829.841824017,25517854.423468933,1782833716.2034936,1782833740.7814896,24.577996015548706,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,24.43360124900937,http,fa7bf094e223bc0fc51e42c3badc778e38948d2ab8a47ae81e6faafedf0428c6,127.0.0.1,9402,25517829.842806157,25517854.276407406,1782833716.2039087,1782833740.6348717,24.430963039398193,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,24.580176819115877,http,1d09a6cd1b44165670936077e131a4c4e031707c92b03f192a50dd6edb7a1611,127.0.0.1,9403,25517829.84363977,25517854.423816588,1782833716.2052026,1782833740.7817435,24.57654094696045,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,24.465788956731558,http,937da26e0aba6ea8ee717d0e6e5d476cc776b25a676e98b5a0590e0ce5a63c8f,127.0.0.1,9404,25517829.844636183,25517854.31042514,1782833716.2060487,1782833740.6690912,24.463042497634888,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,24.448828499764204,http,e71fc946329b541955bcfd10b8116141841d158eab1d93628b5a4a52fdd04d85,127.0.0.1,9405,25517829.84559081,25517854.29441931,1782833716.2066102,1782833740.652997,24.44638681411743,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,C2,CS,C2->CS,UpMsg,1,2,,2113475,0.02750156819820404,http,29ce552189c0446df8199207468491b2fd5bf911bd530258c31a4bcecb47e151,127.0.0.1,9300,25517854.18875437,25517854.216255937,1782833740.5680485,1782833740.575091,0.007042407989501953,,0,network_transfer,
1,C5,CS,C5->CS,UpMsg,1,5,,2113470,0.028165072202682495,http,cc8fb1be3118b558e23c73ba49eabd6a9a04bbb8b5c0893715f57083f2efbb79,127.0.0.1,9300,25517854.213082213,25517854.241247285,1782833740.5926642,1782833740.6001167,0.007452487945556641,,0,network_transfer,
1,C4,CS,C4->CS,UpMsg,1,4,,2113433,0.02527254819869995,http,dff52ea1596fed4d00a73afcd1c309bbdfb10a3c4a03a9a41799a0219a45a4b0,127.0.0.1,9300,25517854.238904107,25517854.264176656,1782833740.6159406,1782833740.623109,0.00716853141784668,,0,network_transfer,
1,C2,KGC,C2->KGC,UpMsg,1,2,,2113475,0.026291772723197937,http,29ce552189c0446df8199207468491b2fd5bf911bd530258c31a4bcecb47e151,127.0.0.1,9200,25517854.248008743,25517854.274300516,1782833740.6269288,1782833740.633356,0.006427288055419922,,0,network_transfer,
1,C5,KGC,C5->KGC,UpMsg,1,5,,2113470,0.014577392488718033,http,cc8fb1be3118b558e23c73ba49eabd6a9a04bbb8b5c0893715f57083f2efbb79,127.0.0.1,9200,25517854.277976796,25517854.29255419,1782833740.6465752,1782833740.6517124,0.005137205123901367,,0,network_transfer,
