round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,52,1800.1005404517055,error,,127.0.0.1,9300,66052302.697425015,66054102.79796547,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.29355355352163315,http,0cf9fa6b5df2d30da9cf5b755baaadb7772a7be73943a3e251803073bcb95d20,127.0.0.1,9200,66052302.71861698,66052303.01217053,1782914046.6528614,1782914046.9319959,0.27913451194763184,,1,end_to_end_with_processing,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.3283207044005394,http,3b43ae99d7c3e8c8fd25df4d7c7fc1538db70a5ac2192416d0ba6f06ca2b660a,127.0.0.1,9200,66052305.258497514,66052305.58681822,1782914049.1922073,1782914049.517928,0.32572054862976074,,1,end_to_end_with_processing,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.26973794400692,http,8c4e118b23146b93fdb16718e21af253e4089954ae9f23ce5134dcf688ea94ed,127.0.0.1,9401,66052305.588678606,66052327.85841655,1782914049.5268574,1782914071.7898176,22.262960195541382,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,22.32303098589182,http,bcfba599270ae0299de180147d2132bb40c095f2fdc9759f1691477001e90c64,127.0.0.1,9402,66052305.59016395,66052327.91319494,1782914049.5274563,1782914071.8441553,22.316699028015137,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,22.14045638591051,http,6402936b93cde2b8346eaf5b7eb67cee4221410964a8d9a5c480e7c10b2e55a0,127.0.0.1,9403,66052305.59104319,66052327.731499575,1782914049.5264418,1782914071.6624916,22.13604974746704,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,22.213658146560192,http,f6b74000ddb550a91b4cf81c3714d8b69e28e355ef0de211ba114471a92cab4d,127.0.0.1,9404,66052305.59212452,66052327.80578267,1782914049.5276482,1782914071.7349405,22.207292318344116,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,22.46549118310213,http,d9ae8e30716bcec388f8e8058a168ec2f9a6f4a5225df1b803ab6fb3b8baf343,127.0.0.1,9405,66052305.59347768,66052328.058968864,1782914049.5278447,1782914071.990412,22.46256732940674,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.3355269283056259,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66052328.0604284,66052328.39595533,1782914071.9937363,1782914072.225645,0.23190879821777344,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
1,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.006087087094783783,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66052328.39714716,66052328.40323424,1782914072.3307357,1782914072.3331103,0.0023746490478515625,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
1,CS,KGC,CS->KGC,ModelMsg,1,,,77937,0.4672311842441559,http,a71f3fc613fbaf500a466e891dc5a9c58d904a6f80e25a2270e2d21925d3052c,127.0.0.1,9200,66052342.561543256,66052343.02877444,1782914086.4960797,1782914086.959685,0.4636054039001465,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
2,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.32777324318885803,http,dadde65cf308107377296f8ecc3577fbde1973cb6eb68fa18a0f8c56c7228b07,127.0.0.1,9200,66052344.92897339,66052345.256746635,1782914088.8627813,1782914089.1878288,0.32504749298095703,,1,end_to_end_with_processing,
2,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.124504454433918,http,32b0473a2620a1e52ef5e70d682819a33aa37be4de5c7544c8e93c845ac20893,127.0.0.1,9401,66052345.25858133,66052367.38308579,1782914089.1955383,1782914111.3141913,22.118653059005737,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C2,CS->C2,TrainUploadReq,1,2,,194,22.283311501145363,http,0c84790f0fb5138b4fff5102d9803637d3fbbf1c580813139b2cf11252303b90,127.0.0.1,9402,66052345.25961453,66052367.54292603,1782914089.1949344,1782914111.4740438,22.279109477996826,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C3,CS->C3,TrainUploadReq,1,3,,194,22.206901364028454,http,4f08bc3b889dec0d41938f697b2f8f90d97d395e448a476a81cb7d5e464c2452,127.0.0.1,9403,66052345.26047204,66052367.4673734,1782914089.1962452,1782914111.3983543,22.20210909843445,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C4,CS->C4,TrainUploadReq,1,4,,194,22.163578271865845,http,1782b7b95b33bb37f2d0f8bb84d1dbbd29ef071e9788201891822264773406e6,127.0.0.1,9404,66052345.261277094,66052367.42485537,1782914089.1964772,1782914111.356216,22.159738779067993,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
