payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,248,524054392,7.02599909901619,2.5545237064361572,248,0,499.77721405029297
CompensationReq,50,391,43.22915565595031,43.029396533966064,0,50,0.00037288665771484375
InitModel,5,3113457,0.18171216174960136,0.1463305950164795,5,0,2.969223976135254
MaskMsg,250,5797630,4.7586503103375435,4.292372941970825,250,0,5.529050827026367
ModelBroadcast,248,19440996,7.279221214354038,6.6888206005096436,248,0,18.54037857055664
ModelMsg,50,3896875,104.49556472525,104.33791303634644,0,50,3.7163496017456055
ModelSyncReq,2,398,0.022695835679769516,0.012103080749511719,2,0,0.0003795623779296875
ModelSyncResp,2,155560,0.022695835679769516,0.012103080749511719,2,0,0.14835357666015625
PublicKeyReq,5,75,0.010963916778564453,0.0002620220184326172,5,0,7.152557373046875e-05
RoundInitReq,50,16341,11.598374169319868,11.500000476837158,0,50,0.015583992004394531
SetupReq,1,1331,0.22812677547335625,0.21572661399841309,0,1,0.0012693405151367188
ShareMsg,248,127530,0.4364647939801216,0.0653839111328125,248,0,0.12162208557128906
StartExperiment,1,52,1800.1013589277864,0.0,0,1,4.9591064453125e-05
TrainUploadReq,248,48315,6154.880416247994,6153.967595338821,0,248,0.04607677459716797
UpMsg,496,1048268212,11.787770882248878,3.223447322845459,496,0,999.706470489502
VerifyUploadsReq,50,391,13.820544946938753,8.444952487945557,0,50,0.00037288665771484375
