round,test_loss,test_accuracy,effective_clients,dropout_clients
0,2.31264233747379,0.1,0,0
1,2.30264838023431,0.1,5,0
2,2.2845976151213225,0.1792,5,0
3,1.028532116982476,0.5417,5,0
4,0.8083552321344976,0.6989,5,0
5,0.762267182268021,0.705,5,0
6,0.6599404876695705,0.7586,5,0
7,0.6244223063009944,0.7563,5,0
8,0.588114675616938,0.7754,5,0
9,0.557920840988309,0.8018,5,0
10,0.5397030412971828,0.7974,4,1
11,0.5131602259224003,0.8157,5,0
12,0.5259832325574054,0.8073,5,0
13,0.49615662402669225,0.8192,5,0
14,0.4695196591962788,0.8274,5,0
15,0.4631614295536831,0.8374,5,0
16,0.45578257149013063,0.8329,5,0
17,0.4375523393420817,0.8434,5,0
18,0.43956578648841543,0.8383,5,0
19,0.42202627952843025,0.8447,5,0
20,0.4265646719418314,0.8446,5,0
21,0.4179800031930316,0.8496,5,0
22,0.40915758991315754,0.8508,5,0
23,0.40450753323885347,0.8559,5,0
24,0.4056364275498944,0.8524,5,0
25,0.39304986073487624,0.8572,4,1
26,0.38466897790645727,0.8607,5,0
27,0.3826788556390873,0.8616,5,0
28,0.3797637944013763,0.8621,5,0
29,0.3796089468628157,0.8617,5,0
30,0.3744669455626123,0.8642,5,0
31,0.3700766192024458,0.8645,5,0
32,0.366015142321425,0.8667,5,0
33,0.36685521991470826,0.8664,5,0
34,0.37075624232682447,0.8674,5,0
35,0.3669536731891127,0.8661,5,0
36,0.369529637321524,0.863,5,0
37,0.3632400854161291,0.8661,5,0
38,0.3590027523213787,0.8695,5,0
39,0.3621845355927448,0.8677,5,0
40,0.3794345259475284,0.8572,5,0
41,0.35653053314197425,0.8662,5,0
42,0.3539150682079573,0.8737,5,0
43,0.3509411345660744,0.8735,5,0
44,0.3558330301356763,0.8681,5,0
45,0.3491209614721799,0.8721,5,0
46,0.34996769865815613,0.8717,5,0
47,0.34736947945972413,0.8776,5,0
48,0.34070454462213706,0.8774,5,0
49,0.3464482682387931,0.8736,5,0
50,0.3511391770485952,0.8746,5,0
