round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.47243533283472
1,client_weight_compute,client aggregation weight,3,1.0982155799865723e-05
1,client_local_train,local SGD training,3,3.26866964250803
1,client_model_delta,weighted local model delta,3,0.0005177780985832214
1,client_quant_encode,fixed-point quantization and signed encoding,3,9.720027446746826e-05
1,client_masking,xMask = x + m,3,4.322826862335205e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.612388759851456
1,client_cipher_hash,hash encrypted vector,3,0.023300066590309143
1,client_pedersen_commit,Pedersen vector commitment,3,2.123582012951374
1,client_receipt_sign,sign upload receipt,3,0.0006331354379653931
1,client_upload_pack,build upload message,3,0.011566109955310822
1,client_weight_compute,client aggregation weight,4,1.0766088962554932e-05
1,client_local_train,local SGD training,4,3.3122927397489548
1,client_model_delta,weighted local model delta,4,0.0005228593945503235
1,client_quant_encode,fixed-point quantization and signed encoding,4,9.987503290176392e-05
1,client_masking,xMask = x + m,4,4.184991121292114e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.61599662154913
1,client_cipher_hash,hash encrypted vector,4,0.023094147443771362
1,client_pedersen_commit,Pedersen vector commitment,4,2.140107214450836
1,client_receipt_sign,sign upload receipt,4,0.0006244778633117676
1,client_upload_pack,build upload message,4,0.011391788721084595
1,client_weight_compute,client aggregation weight,1,8.925795555114746e-06
1,client_local_train,local SGD training,1,3.3154941350221634
1,client_model_delta,weighted local model delta,1,0.0005242303013801575
1,client_quant_encode,fixed-point quantization and signed encoding,1,0.0001218840479850769
1,client_masking,xMask = x + m,1,3.929436206817627e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.65945601463318
1,client_cipher_hash,hash encrypted vector,1,0.024194680154323578
1,client_pedersen_commit,Pedersen vector commitment,1,2.151428498327732
1,client_receipt_sign,sign upload receipt,1,0.0006174221634864807
1,client_upload_pack,build upload message,1,0.011316649615764618
1,client_weight_compute,client aggregation weight,2,1.1324882507324219e-05
1,client_local_train,local SGD training,2,3.3324657529592514
1,client_model_delta,weighted local model delta,2,0.0005157813429832458
