round,alpha,rootUp,ComAggHash,modelHashR,modelHashNext,auditRoot,sigFinal_len
1,0x22261166a025ab0f4e68c0374fe194804504080ca97752af474e4ba77baef9a1,0x377dc200653f16c22b585b93fce92d8a037ff338fb0fb37be47282c44a207404,0xfeadfdc73bacea5e2d551e47f0d2dfd0c1dca6cf34087c84bf97cdb8eece63e0,0xbd170a15f3413ddac0da51878220ea053f21e2cd8a008095483f3790cb4ae1e2,0xe46a107b4e7356433c0cf38c0f88d162508f108f09f1da640bcc33552eee4348,0x4499bd9b82afda1bba7baf5df670bbb97a98c0bb988e013512374de27dcd24ad,142
2,0x685321c1d4ca5a63cd119c8dcb7a8fbe7139e8afa3853d7847fe61426c96d892,0x80f52f917df066bb7b8402e71dafb559c9d5f1f39484bd3ea7926283442f94b1,0xa47acccee68d67a6dfd86814d178f1e4aa7e7ab6b08241ec92653e09faaa3a58,0xe46a107b4e7356433c0cf38c0f88d162508f108f09f1da640bcc33552eee4348,0x1d85c7ec88070a3f379004bb73292d687b2880f7a38ff1a7ce9036bfdeeba0d9,0xf27e9337be16ff0be9d772ed79fb965261173a52b78a873cb360131a2e9703c9,144
3,0x989f827b1f22db525e1cf83066d72ee06d2b538dca29a28ed8a2fe44296b1b10,0x4ece0c4b4c15a4f4fc1c478a5890c8460c58739f51577d037857e3d84d38180f,0xc673e0a45ba10b741e07e876cba98df8ac379a51ee9e7e89c63e2a5a21949e1c,0x1d85c7ec88070a3f379004bb73292d687b2880f7a38ff1a7ce9036bfdeeba0d9,0x97b4db86ecc314f1ee6086dd2e4d2f5353e28c1159ca8b7787e25cbf78926e5b,0xc269d35f0d1476b27d29eddd2cb6cc13dd1ce674237e9fd45f19229c707cf69f,144
4,0x50e0a54f9de25918baf1aa4032b9019fc3fb23eee81f7c8fd10334e8f9cf3c07,0x61e3bd0ea6b2c319a810c161e09dc1f265c495b2988bdbec3853af92c5257eb4,0xfcee7f24fcfd7da23081bd50bbb1281f3317d4933f36a58d7c064eb669fd8a6d,0x97b4db86ecc314f1ee6086dd2e4d2f5353e28c1159ca8b7787e25cbf78926e5b,0x1f6cadb488f3f8523e7b77dbf088588e96b907a096b753f30b065fab53aa82b4,0xbc72290ed6dbd96857b8a09968cbc8ad65ee218bdcc48a9f7c005b65774ec7f5,140
5,0xa16da767d96ecde478f5d4a5f5fd80906d470b55d5a24c47340639ba72ac6775,0x562136e6965bc33d44c9a585aa97e92c8604a436df056e482dfccfd7a86eadba,0x98778938103ffdbefddc0e2ccf80a692eb7a1c544b5a850ab34e2217150d3d2e,0x1f6cadb488f3f8523e7b77dbf088588e96b907a096b753f30b065fab53aa82b4,0x7ff4790fe1c51dcccea696a36828123342b8a9a13fda68e4b4a717add1e400d0,0x379e08beca51381abd986a40235df5cc39b259d164479439fe53a0d760622716,144
6,0x0ab4b2f4721250c67aa4f2c6c4ca002cfea30fd9e28f5b7d15b90990f579522b,0xd3f181ee0e10dcb486c8ca9ffa7b874be5ce352eba97c26b66ed840400c559a9,0x0352f29fd133e53b3377ae485bf21a36e5005f5535fb202ed0f62d3c41b5419c,0x7ff4790fe1c51dcccea696a36828123342b8a9a13fda68e4b4a717add1e400d0,0x531dc60d4242d9cac164f24ef73e264717b50196186599808a34285eff5e0156,0x859b529f261cedfe638ebcfbf8441db6d33d794fb5d880bb25383d3045099c77,142
7,0xa58152d87699b55f5fb609f94f97d06cf8410e30d8ff8343243cc83bed659162,0x9003c8fa9bce529428b34c32841ee479c39b8f059b0bcc848573783247629808,0x8ec63d52825d094dd5aa3b498805ea333144be30dc192390bb46693d1bf2f262,0x531dc60d4242d9cac164f24ef73e264717b50196186599808a34285eff5e0156,0x3091458fcdff0ea979fc0f9e09561933f459a4315ea887ce5d672b3ad6813155,0x7ee7396f2c8e0cf1605c816af7658b11ce94e9dcbbc19910c3733d44f74848b4,142
8,0xa611a558cd2b70bb009c878e1619b9bf948ce52b13f2e0b27f5bbb0bfb3b56ea,0x60af57a9ff563d9255b34908ff5cca87b3eddb931ee610dfc1e28e0a778519f3,0x08c97c189c37d0ce9c23d7be3e286c525ffe350f83defe713b1ca55022ffdaca,0x3091458fcdff0ea979fc0f9e09561933f459a4315ea887ce5d672b3ad6813155,0xd35027adae3804f598d3172bad67a64e1cadcac3b1da0a96ad93c0767c65677c,0xa79fc2ee804d8832eb4206e67e467e31eb89402d8d6dc84a3d4677e5e5249df2,142
9,0xae8b6847bab8e1e3506ce9153cea5f49ed84c0260df8db3083e4671cd9f46992,0xc2116dcdf93c260dc6298805f67a88f9c4dd9bf06dc49c26a6f9b2c163c174e7,0x8711bc83e1d75279d2a6ab62eb91e3035dafac108982845df3e97cbb94a54c59,0xd35027adae3804f598d3172bad67a64e1cadcac3b1da0a96ad93c0767c65677c,0x8f2df4c23deb64679c7718a03b2312cf148c6a7e99ed887de161f5ae96099803,0xf7cb5b9fa731cf3ef5ae903089060b4f5e9a17ec02efcbb4908b0daa98985660,142
10,0xaef66bcab5c536a208a6d3ca15651b13970057a70a9484082b6b85e6e2104a71,0xc38ec5b21f3fef17a19ec87f610d3f5f2fe32c70fd8343ed0153bf1c5f7b55c6,0x12d7c44399bc1cc25aa244a2146b2ffa8f7d9483cc5f1773d5d50e3702268662,0x8f2df4c23deb64679c7718a03b2312cf148c6a7e99ed887de161f5ae96099803,0xec8beebeeb892fd53258cf2006539c88c4c8833dca2a9f47284b0782de5f037f,0xd5d2829b42c358d267bbc52f15a33d503144b4f33852d20afa8ea8d6307bdee4,142
