round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
0,InitTx,f85190f14a356d58821a6ec2e709c7dc93c95b420266ab2819be8ceec81d5deb,165,82006,0.023822277784347534,1
1,FinalTx,a4378eb676d8c18d531ff0b6e3636e42868d91e0e6a20a187be9d947cc2ed9fc,166,67553,0.027056533843278885,1
2,FinalTx,4c2e67ca312f16a16ac496da9a6e76a55d1f4188e122345cdf338ea1daf37f1d,167,50477,0.025833413004875183,1
3,FinalTx,7bcac8c356b29668b100a3c16abf97f4206b73694f021360ba35c9ebe186a731,168,50477,0.02817714586853981,1
4,FinalTx,b759d21238d485df6782392e2287c31201d3f46a1d96f314645e23557b0af06a,169,50441,0.02773606777191162,1
5,FinalTx,705db1ec010eaaecb397b22ef2d327087ff1ca468bff800adfd0d2e452655482,170,50465,0.027522802352905273,1
6,FinalTx,5c8fff7204d7409a0e7ddcb559f755badc3b00e5496d41b90f2acf251d66ff76,171,50429,0.027823075652122498,1
7,FinalTx,ca3220366fc7908e29f8617918e658b0545428979edadaeb7291828e62935431,172,50477,0.027076326310634613,1
8,FinalTx,6faf3f4b2f1776fbc6cf4ba6ab0fe45eb5dbad83befcb6f29c6d60ff3d44b9d3,173,50453,0.02704138681292534,1
9,FinalTx,a29c7d089be9155a2e168ec7955d41c05b1273de52adf686a2643dfd29b2d017,174,50465,0.027186844497919083,1
10,FinalTx,0ab102c7bf2e5695d8321a5112360b45905ca906b289e1e138916762be619852,175,50465,0.027476370334625244,1
11,FinalTx,91be2771b552d77f93c4d2c7994f3b05a878a1f9e9ff5906fb1ddc94904a24af,176,50477,0.026828475296497345,1
12,FinalTx,de2ab86049a3bdd742ca0993af6f7612b3b64e440449a3b1428230fa2d004796,177,50429,0.025931596755981445,1
13,FinalTx,f43719a44372842e567cfab92f078e88c75c3c2ba0f792419fc01502e8292285,178,50465,0.026450246572494507,1
14,FinalTx,d8dc2e4a34e0590acbea9df2fc951024823dddeafd58443255cdbe44069e01a4,179,50465,0.027481038123369217,1
15,FinalTx,1c97f7c6090596979b395870e05df6212e3315bf25a469fb77da117e5526d112,180,50477,0.027676239609718323,1
16,FinalTx,c8026df5c3786be7cee3c21f2dcc6f346cff0bdcb7a020d8f7c5bb03d2ddfd59,181,50465,0.02682199329137802,1
17,FinalTx,2793be4c8440b18bf4f74f9480b271d4fa78eaf90b66154c0350f65ca268c500,182,50465,0.026758693158626556,1
18,FinalTx,89f51635b233ce45872949cf56d0e4c164045d41fffc8b0d0bc97027835960fe,183,50453,0.025531016290187836,1
19,FinalTx,106e184d604a5fa7dc057475c05c84ac2bdbe893a126dbbb217e0cd5e928e5ee,184,50453,0.025935769081115723,1
20,FinalTx,39e2c8df6d5fcc739ccab0990f99420084fef196a98b69cdd6c2a699bbf88492,185,50465,0.026799801737070084,1
21,FinalTx,f012b9a5775e28fedaa9652973ed638fc910dfee4ad11e399a52c9ac3f953386,186,50477,0.02672477811574936,1
22,FinalTx,a179dd940bd5d537a808b6cee2e59f1244d816f01a8abdfb0db0179bad20c536,187,50465,0.02694428712129593,1
