round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,55,1800.0718814320862,error,,127.0.0.1,9300,25520931.459633123,25522731.531514555,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.0031733661890029907,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,25520931.463792793,25520931.46696616,1782836817.8257923,1782836817.825844,5.173683166503906e-05,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.0021019428968429565,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,25520931.467734955,25520931.4698369,1782836817.828738,1782836817.8287876,4.9591064453125e-05,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.0019515715539455414,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,25520931.470427293,25520931.472378865,1782836817.8312554,1782836817.831312,5.650520324707031e-05,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.0019360296428203583,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,25520931.472941656,25520931.474877685,1782836817.83378,1782836817.8338325,5.245208740234375e-05,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.0019304938614368439,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,25520931.475440793,25520931.477371287,1782836817.8362732,1782836817.836323,4.982948303222656e-05,,0,network_transfer,
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.17869985103607178,http,5b8c473e4891c02547ee49d04fbb044d9200dd061fa7df76ceac7c11723989b6,127.0.0.1,9200,25520931.478062402,25520931.656762253,1782836817.838891,1782836818.005618,0.16672706604003906,,1,end_to_end_with_processing,
0,CS,C1,CS->C1,InitModel,1,1,,622690,0.038351256400346756,http,13df41e0a447dd347747ef1836afda31f60ba575c8734fe6137471862bfb9282,127.0.0.1,9401,25520931.689254258,25520931.727605514,1782836818.055682,1782836818.0866241,0.030942201614379883,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622689,0.035373907536268234,http,2a884c979052f1bce829c0751ed132fc630d844199b5b647fbf7bcccdc442c30,127.0.0.1,9402,25520931.754307184,25520931.789681092,1782836818.1207867,1782836818.148698,0.02791142463684082,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622689,0.03790655732154846,http,a1cb07686d4cecc85fcb35a098016e0dd63993d1a75bfa184c8f6feab9ada8bd,127.0.0.1,9403,25520931.81738681,25520931.855293367,1782836818.1839507,1782836818.2142131,0.030262470245361328,,0,network_transfer,
