round,test_loss,test_accuracy,effective_clients,dropout_clients
0,2.31264233747379,0.1,0,0
1,2.496502548595829,0.1476,5,0
2,2.2321058232425073,0.1708,5,0
3,1.9986509676166468,0.1718,5,0
4,1.91947375532655,0.2463,5,0
5,1.8691704943226315,0.255,5,0
6,1.7727979078457101,0.263,5,0
7,1.6928830605776275,0.2926,5,0
8,1.614992595004535,0.3339,5,0
9,1.5186750709250232,0.3853,5,0
10,1.6744654124241487,0.3926,4,1
11,1.429437957065244,0.435,5,0
12,1.3765547020894378,0.4834,5,0
13,1.3287149802743676,0.5197,5,0
14,1.2803914710990345,0.5214,5,0
15,1.2483215340457752,0.5759,5,0
16,1.2096931267937543,0.5805,5,0
17,1.176724933738288,0.6033,5,0
18,1.1520235110777006,0.6175,5,0
19,1.127325368484015,0.6106,5,0
20,1.1227897163544773,0.6035,5,0
21,1.0879901412651052,0.636,5,0
22,1.0688736372927594,0.6287,5,0
23,1.0488022270378372,0.636,5,0
24,1.0281317323403423,0.6559,5,0
25,1.2503329311621787,0.598,4,1
26,1.1040302292362287,0.5752,5,0
27,1.0219504186983321,0.6129,5,0
28,1.026144864115751,0.6137,5,0
29,0.9879048577989809,0.6241,5,0
30,0.9887594285905641,0.6463,5,0
31,0.9540713773638064,0.6417,5,0
32,0.961511908178227,0.6491,5,0
33,0.934845585489244,0.6644,5,0
34,0.917953670266339,0.6776,5,0
35,0.904103840582485,0.6788,5,0
36,0.9046557639263249,0.6718,5,0
37,0.9197589796791248,0.6487,5,0
38,0.8965714406996466,0.6673,5,0
39,0.8837971225910073,0.6651,5,0
40,0.9160814127360436,0.6613,5,0
41,0.8590163866376542,0.6768,5,0
42,0.8959573884537245,0.6449,5,0
43,0.872918536517183,0.6693,5,0
44,0.8653063657315728,0.6737,5,0
45,0.8164625467410439,0.703,5,0
46,0.8461791958621234,0.6935,5,0
47,0.8079638148254077,0.7111,5,0
48,0.8421879470203126,0.689,5,0
49,0.816753386278659,0.7096,5,0
50,0.8083078215021006,0.7041,5,0
