round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,24.82237797603011
1,client_weight_compute,client aggregation weight,5,1.1984258890151978e-05
1,client_local_train,local SGD training,5,3.5777286291122437
1,client_model_delta,weighted local model delta,5,0.000471651554107666
1,client_quant_encode,fixed-point quantization and signed encoding,5,9.662657976150513e-05
1,client_masking,xMask = x + m,5,4.208087921142578e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.303399302065372
1,client_cipher_hash,hash encrypted vector,5,0.023282013833522797
1,client_pedersen_commit,Pedersen vector commitment,5,2.458184588700533
1,client_receipt_sign,sign upload receipt,5,0.0006798170506954193
1,client_upload_pack,build upload message,5,0.012632444500923157
1,client_weight_compute,client aggregation weight,3,9.927898645401001e-06
1,client_local_train,local SGD training,3,3.729586146771908
1,client_model_delta,weighted local model delta,3,0.00046541541814804077
1,client_quant_encode,fixed-point quantization and signed encoding,3,9.541958570480347e-05
1,client_masking,xMask = x + m,3,4.3686479330062866e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.230094853788614
1,client_cipher_hash,hash encrypted vector,3,0.023419618606567383
1,client_pedersen_commit,Pedersen vector commitment,3,2.399922300130129
1,client_receipt_sign,sign upload receipt,3,0.0006251372396945953
1,client_upload_pack,build upload message,3,0.012649528682231903
1,client_weight_compute,client aggregation weight,2,9.559094905853271e-06
1,client_local_train,local SGD training,2,3.626402508467436
1,client_model_delta,weighted local model delta,2,0.0004886798560619354
1,client_quant_encode,fixed-point quantization and signed encoding,2,0.0001039355993270874
1,client_masking,xMask = x + m,2,4.529207944869995e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.316177494823933
1,client_cipher_hash,hash encrypted vector,2,0.02362263947725296
1,client_pedersen_commit,Pedersen vector commitment,2,2.4453184828162193
1,client_receipt_sign,sign upload receipt,2,0.0006241723895072937
1,client_upload_pack,build upload message,2,0.012574143707752228
1,client_weight_compute,client aggregation weight,4,1.0609626770019531e-05
1,client_local_train,local SGD training,4,3.675729986280203
1,client_model_delta,weighted local model delta,4,0.000474490225315094
1,client_quant_encode,fixed-point quantization and signed encoding,4,9.592995047569275e-05
1,client_masking,xMask = x + m,4,4.145503044128418e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.37404176965356
