round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.0032237209379673004,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,25511282.30292497,25511282.30614869,1782827168.6649349,1782827168.664988,5.316734313964844e-05,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.002023715525865555,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,25511282.306942545,25511282.30896626,1782827168.6678364,1782827168.6678846,4.8160552978515625e-05,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.0019804909825325012,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,25511282.30957201,25511282.311552502,1782827168.6704545,1782827168.6705015,4.696846008300781e-05,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.0018227621912956238,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,25511282.31213839,25511282.313961152,1782827168.672876,1782827168.6729248,4.887580871582031e-05,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.00204327329993248,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,25511282.314520836,25511282.31656411,1782827168.6753898,1782827168.6754403,5.054473876953125e-05,,0,network_transfer,
0,CS,C1,CS->C1,InitModel,1,1,,622688,0.037865813821554184,http,2afa91e10b2101c4d5f51359fea293fce0800a80163c51a9ee936b0ee8983541,127.0.0.1,9401,25511282.642085936,25511282.67995175,1782827169.0085123,1782827169.0389338,0.03042149543762207,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622687,0.03561267629265785,http,2f10a2b023c100a56b389d3c20a1bb8dc44fddccc916c362d28d70dbca8cc55b,127.0.0.1,9402,25511282.706304453,25511282.74191713,1782827169.0727892,1782827169.1008837,0.02809453010559082,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622688,0.037322863936424255,http,57a34afb569ed0345bb3d13f6455656cb68e97fc77dcb0038e655cee7d3adfcf,127.0.0.1,9403,25511282.770271067,25511282.80759393,1782827169.1366823,1782827169.1665545,0.02987217903137207,,0,network_transfer,
0,CS,C4,CS->C4,InitModel,1,4,,622688,0.038113370537757874,http,2aceeaba0e795404a59fe7cec2f000726dcdfa3db8c6a2d6321d39f41b72a556,127.0.0.1,9404,25511282.834131174,25511282.872244544,1782827169.2006104,1782827169.2311742,0.030563831329345703,,0,network_transfer,
0,CS,C5,CS->C5,InitModel,1,5,,622688,0.0347009114921093,http,662cb73aece0c9f4ca94b9c7e6fa81210182336e2c4b9f77dc71879e5f66716a,127.0.0.1,9405,25511282.899858776,25511282.934559688,1782827169.266361,1782827169.293577,0.027215957641601562,,0,network_transfer,
1,KGC,C1,KGC->C1,MaskMsg,1,1,,23017,0.0202394537627697,http,6184659b3fb67c8f34435609f9ff0ca4e639c1704795a03dbe8c513d023283d4,127.0.0.1,9401,25511284.53936228,25511284.559601735,1782827170.9007297,1782827170.9187176,0.017987966537475586,,0,network_transfer,
1,KGC,C2,KGC->C2,MaskMsg,1,2,,23009,0.021032117307186127,http,8f1200109dae826ce2f3be97f6c2f4238d9d1b17dc418c53fe8dced0cfa0a8e4,127.0.0.1,9402,25511284.577296264,25511284.59832838,1782827170.9383287,1782827170.9573646,0.019035816192626953,,0,network_transfer,
1,KGC,C3,KGC->C3,MaskMsg,1,3,,22971,0.019819144159555435,http,16cb03f9622d6b7a9cf91611eb6f78816231fa2d0dcd3f05b624d26d71c152ea,127.0.0.1,9403,25511284.62029817,25511284.640117314,1782827170.9812894,1782827170.999181,0.017891645431518555,,0,network_transfer,
1,KGC,C4,KGC->C4,MaskMsg,1,4,,22964,0.018809881061315536,http,a3b31e29aa91a7fef1d7e4a84b3081f41c9ec4850a33b89ba9b41cd6772200df,127.0.0.1,9404,25511284.663217694,25511284.682027575,1782827171.0242813,1782827171.0411415,0.016860246658325195,,0,network_transfer,
1,KGC,C5,KGC->C5,MaskMsg,1,5,,24016,0.019283533096313477,http,ca4351546fe7020aaf730859536c7dd76b8055f33988b37dfb57170dc3c6064f,127.0.0.1,9405,25511284.703425176,25511284.72270871,1782827171.0644138,1782827171.0818152,0.017401456832885742,,0,network_transfer,
1,C5,CS,C5->CS,UpMsg,1,5,,2110856,0.01766674965620041,http,9cfef59654a5901111532ec7024f2fa839ca9d0a698e84930db268fefeb50484,127.0.0.1,9300,25511313.341592297,25511313.359259047,1782827199.712512,1782827199.7182162,0.005704164505004883,,0,network_transfer,
1,C3,CS,C3->CS,UpMsg,1,3,,2110889,0.017043903470039368,http,49171679e82d3b1033e3b9effc03b93ebccb705d17da7157f3b45ed43eb343b6,127.0.0.1,9300,25511313.380069017,25511313.39711292,1782827199.7499604,1782827199.7560966,0.006136178970336914,,0,network_transfer,
1,C5,KGC,C5->KGC,UpMsg,1,5,,2110856,0.017168357968330383,http,9cfef59654a5901111532ec7024f2fa839ca9d0a698e84930db268fefeb50484,127.0.0.1,9200,25511313.397082787,25511313.414251145,1782827199.767552,1782827199.7734363,0.005884408950805664,,0,network_transfer,
1,C4,CS,C4->CS,UpMsg,1,4,,2110921,0.016247611492872238,http,e3cf70f3c2aa266159c4d8a7b9580ca09140ad4d56661583d5b3598fd6879703,127.0.0.1,9300,25511313.43098263,25511313.447230242,1782827199.8010538,1782827199.806238,0.005184173583984375,,0,network_transfer,
1,C3,KGC,C3->KGC,UpMsg,1,3,,2110889,0.01720321550965309,http,49171679e82d3b1033e3b9effc03b93ebccb705d17da7157f3b45ed43eb343b6,127.0.0.1,9200,25511313.43601255,25511313.453215767,1782827199.8059309,1782827199.8123527,0.006421804428100586,,0,network_transfer,
1,C1,CS,C1->CS,UpMsg,1,1,,2110824,0.022752027958631516,http,04eeb6576699d73e38b1927117476da41818c2b99497027cf65d0b352ff9e4fb,127.0.0.1,9300,25511313.439600945,25511313.462352972,1782827199.815313,1782827199.8213587,0.00604557991027832,,0,network_transfer,
1,C4,KGC,C4->KGC,UpMsg,1,4,,2110921,0.016047820448875427,http,e3cf70f3c2aa266159c4d8a7b9580ca09140ad4d56661583d5b3598fd6879703,127.0.0.1,9200,25511313.48688005,25511313.50292787,1782827199.8557901,1782827199.8621001,0.006309986114501953,,0,network_transfer,
1,C2,CS,C2->CS,UpMsg,1,2,,2110911,0.01724809780716896,http,6be8bd336db425d4a07694fdac75ca8df9f666727bcbce1bc69099cb36957c42,127.0.0.1,9300,25511313.490722016,25511313.507970113,1782827199.8602595,1782827199.867035,0.006775379180908203,,0,network_transfer,
1,C1,KGC,C1->KGC,UpMsg,1,1,,2110824,0.015091601759195328,http,04eeb6576699d73e38b1927117476da41818c2b99497027cf65d0b352ff9e4fb,127.0.0.1,9200,25511313.502407327,25511313.51749893,1782827199.8708684,1782827199.8764322,0.0055637359619140625,,0,network_transfer,
1,C2,KGC,C2->KGC,UpMsg,1,2,,2110911,0.02353663370013237,http,6be8bd336db425d4a07694fdac75ca8df9f666727bcbce1bc69099cb36957c42,127.0.0.1,9200,25511313.546159495,25511313.56969613,1782827199.9202278,1782827199.928696,0.008468151092529297,,0,network_transfer,
1,CS,C1,CS->C1,AggMsg,1,1,,2110514,0.022164031863212585,http,fe0a0053e87f9271322785f9f4ae7a61502118a946a93fab7abd0be21211b6c7,127.0.0.1,9401,25511314.281340912,25511314.303504944,1782827200.6535797,1782827200.6626794,0.009099721908569336,,0,network_transfer,
1,C1,CS,C1->CS,ShareMsg,1,1,,511,0.0015109777450561523,http,fe9073410e66e64db97a78df9309bcc641db3d6a4730b32be74f81918994d856,127.0.0.1,9300,25511314.301268697,25511314.302779675,1782827200.661778,1782827200.6619794,0.0002014636993408203,,0,network_transfer,
1,CS,C2,CS->C2,AggMsg,1,2,,2110514,0.019093435257673264,http,a8b04921b5f3aec4c4fbe43723fbf6aa1048f4c425d6f0fbf2c680ac0dfd3942,127.0.0.1,9402,25511314.338415,25511314.357508436,1782827200.7081761,1782827200.7167373,0.008561134338378906,,0,network_transfer,
1,C2,CS,C2->CS,ShareMsg,1,2,,512,0.001326393336057663,http,4c6a058a1dead2759054bb559fdee9da649e1a3895d6dd1351e1d5cab5bbb98f,127.0.0.1,9300,25511314.35551847,25511314.356844865,1782827200.7158961,1782827200.716074,0.00017786026000976562,,0,network_transfer,
1,CS,C3,CS->C3,AggMsg,1,3,,2110514,0.0175781212747097,http,8e2c16d7cfecf52fa8eecdbbf30bc794ca8a25ab0a9a67d40449f2a52c20e0d4,127.0.0.1,9403,25511314.39608892,25511314.41366704,1782827200.7644675,1782827200.77289,0.008422613143920898,,0,network_transfer,
1,C3,CS,C3->CS,ShareMsg,1,3,,511,0.0014735423028469086,http,a35daa0a4ce7f5b9aa6152a358f52b2276ba3aa2a9c4ca1507d3f239cf0b19c5,127.0.0.1,9300,25511314.41153465,25511314.41300819,1782827200.7719426,1782827200.772163,0.00022029876708984375,,0,network_transfer,
1,CS,C4,CS->C4,AggMsg,1,4,,2110514,0.021325699985027313,http,14bb2f6364506433dbdbad70d80297596b96c5b9f90e439775761fbb432f6e77,127.0.0.1,9404,25511314.453156203,25511314.474481903,1782827200.8248549,1782827200.833707,0.008852243423461914,,0,network_transfer,
1,C4,CS,C4->CS,ShareMsg,1,4,,513,0.0014458224177360535,http,dd78a353f7083663156c51078b1d00f5d857666dfd0a635f90da94391be7e551,127.0.0.1,9300,25511314.47236227,25511314.47380809,1782827200.832802,1782827200.8329906,0.00018858909606933594,,0,network_transfer,
1,CS,C5,CS->C5,AggMsg,1,5,,2110514,0.018728572875261307,http,f7661576d8cf93103cc1a1880cda0c49aa3474e123c1a3e1432e95870e43bcf5,127.0.0.1,9405,25511314.51189556,25511314.530624133,1782827200.8814464,1782827200.889836,0.008389711380004883,,0,network_transfer,
1,C5,CS,C5->CS,ShareMsg,1,5,,513,0.001317135989665985,http,0f51643955144d8b65e9e0627da67f0938294da01b6b447dca4801bf08aa84d2,127.0.0.1,9300,25511314.528624486,25511314.529941622,1782827200.8889897,1782827200.8891816,0.0001919269561767578,,0,network_transfer,
1,CS,C1,CS->C1,ModelBroadcast,1,1,,78390,0.024239856749773026,http,66ca7b7326b0e14930804db7cc5a1b8b7f4fc5d1395eec1bfcbf9a9fc6f32350,127.0.0.1,9401,25511333.94477809,25511333.969017945,1782827220.3055284,1782827220.3281484,0.022619962692260742,,0,network_transfer,
1,CS,C2,CS->C2,ModelBroadcast,1,2,,78390,0.025947507470846176,http,17c3022d50647e055383999f247027caa6a1887ce49a39e871abd752f4ef2b76,127.0.0.1,9402,25511333.9725462,25511333.99849371,1782827220.333316,1782827220.3576493,0.02433323860168457,,0,network_transfer,
1,CS,C3,CS->C3,ModelBroadcast,1,3,,78390,0.02565271034836769,http,aa2f483bef0a6d69b847c4b17da5786d4e17ebb5ce576e727e8ed84bd58b8ee7,127.0.0.1,9403,25511334.001977704,25511334.027630415,1782827220.3628013,1782827220.3867579,0.0239565372467041,,0,network_transfer,
1,CS,C4,CS->C4,ModelBroadcast,1,4,,78390,0.02511628344655037,http,7385c3ec267f4964419a8450938efbf39696e5733aa4a8e14f697bcba307ea0a,127.0.0.1,9404,25511334.03086017,25511334.055976454,1782827220.3915143,1782827220.4151907,0.023676395416259766,,0,network_transfer,
1,CS,C5,CS->C5,ModelBroadcast,1,5,,78390,0.02551839128136635,http,093a2b5ab522c665b167188b8b6eec5729102f311b267ce0ac06d1fe265fab6c,127.0.0.1,9405,25511334.05918981,25511334.084708203,1782827220.4199274,1782827220.4439013,0.023973941802978516,,0,network_transfer,
2,KGC,C1,KGC->C1,MaskMsg,1,1,,23024,0.010709729045629501,http,d715bec5f3ba876665dd11ceb8ed2c3e2cdc8b8cad2de70343e553e9925c1da2,127.0.0.1,9401,25511336.017669704,25511336.028379433,1782827222.3782787,1782827222.3875504,0.009271621704101562,,0,network_transfer,
2,KGC,C2,KGC->C2,MaskMsg,1,2,,23044,0.023739494383335114,http,518c6b921d9fa98e8a22f8a0d2b321d6f12f86f76c8095df6b0f5f652ffe7f17,127.0.0.1,9402,25511336.04708256,25511336.070822053,1782827222.407957,1782827222.4299197,0.021962642669677734,,0,network_transfer,
2,KGC,C3,KGC->C3,MaskMsg,1,3,,22949,0.00932026281952858,http,60d81a423d6d00ad444b135caf7c1f916cf43d6ef4dd3641e54e3f514bd8fa15,127.0.0.1,9403,25511336.08946984,25511336.0987901,1782827222.4499218,1782827222.4579363,0.008014440536499023,,0,network_transfer,
2,KGC,C4,KGC->C4,MaskMsg,1,4,,23067,0.012380868196487427,http,42999be37430382f95484237763b33f554ad4e6fb140a472f6f9fdc7925a1bb6,127.0.0.1,9404,25511336.117360152,25511336.12974102,1782827222.4779043,1782827222.488892,0.01098775863647461,,0,network_transfer,
2,KGC,C5,KGC->C5,MaskMsg,1,5,,23999,0.014574006199836731,http,eb71bc467b651e9b780049582d039af2e6dad6a2df54fe42e52ca7ac9b3f439b,127.0.0.1,9405,25511336.143968698,25511336.158542704,1782827222.5044498,1782827222.5177546,0.013304710388183594,,0,network_transfer,
2,C3,CS,C3->CS,UpMsg,1,3,,2110836,0.024892892688512802,http,dcc8621f1204a1ea052c3cbbf9a2575466c00567e3558855fe513b82e74e667e,127.0.0.1,9300,25511360.261329424,25511360.286222316,1782827246.6389418,1782827246.645018,0.006076335906982422,,0,network_transfer,
2,C3,KGC,C3->KGC,UpMsg,1,3,,2110836,0.02258516103029251,http,dcc8621f1204a1ea052c3cbbf9a2575466c00567e3558855fe513b82e74e667e,127.0.0.1,9200,25511360.321901843,25511360.344487004,1782827246.6977203,1782827246.7035272,0.005806922912597656,,0,network_transfer,
2,C1,CS,C1->CS,UpMsg,1,1,,2110785,0.02510625496506691,http,8f103e4e828fc6726e1706aeba23c875cfa02dbbd8f149a48b1bc52f003de0d1,127.0.0.1,9300,25511360.447482232,25511360.472588487,1782827246.825303,1782827246.8314342,0.006131172180175781,,0,network_transfer,
2,C5,CS,C5->CS,UpMsg,1,5,,2110942,0.02524261176586151,http,e5aeea025dc61ca0897ba3b76c71f65a583a103ee7a29619ef07a9b30e3b06e0,127.0.0.1,9300,25511360.46112834,25511360.48637095,1782827246.8383646,1782827246.845176,0.006811380386352539,,0,network_transfer,
2,C4,CS,C4->CS,UpMsg,1,4,,2110856,0.020950697362422943,http,2eb25068da9da2ce9acef9fd82dabb9bb26fe649ec12692b5a4274ba3d2758af,127.0.0.1,9300,25511360.487859774,25511360.50881047,1782827246.8613315,1782827246.8676577,0.006326198577880859,,0,network_transfer,
2,C1,KGC,C1->KGC,UpMsg,1,1,,2110785,0.021200265735387802,http,8f103e4e828fc6726e1706aeba23c875cfa02dbbd8f149a48b1bc52f003de0d1,127.0.0.1,9200,25511360.50787145,25511360.529071715,1782827246.8818982,1782827246.8881447,0.0062465667724609375,,0,network_transfer,
2,C5,KGC,C5->KGC,UpMsg,1,5,,2110942,0.020353466272354126,http,e5aeea025dc61ca0897ba3b76c71f65a583a103ee7a29619ef07a9b30e3b06e0,127.0.0.1,9200,25511360.517319616,25511360.537673082,1782827246.8901553,1782827246.8967807,0.00662541389465332,,0,network_transfer,
2,C4,KGC,C4->KGC,UpMsg,1,4,,2110856,0.02471010759472847,http,2eb25068da9da2ce9acef9fd82dabb9bb26fe649ec12692b5a4274ba3d2758af,127.0.0.1,9200,25511360.54257464,25511360.567284748,1782827246.9189382,1782827246.926383,0.007444858551025391,,0,network_transfer,
2,C2,CS,C2->CS,UpMsg,1,2,,2110975,0.02373899146914482,http,b7433b4d3abb5f51299d1b44e510073df88ec4c0e2ff8a7ea0bb8f4e0321ac9e,127.0.0.1,9300,25511360.644648425,25511360.668387417,1782827247.0211172,1782827247.027272,0.006154775619506836,,0,network_transfer,
2,C2,KGC,C2->KGC,UpMsg,1,2,,2110975,0.023449212312698364,http,b7433b4d3abb5f51299d1b44e510073df88ec4c0e2ff8a7ea0bb8f4e0321ac9e,127.0.0.1,9200,25511360.698649567,25511360.72209878,1782827247.0747795,1782827247.0811758,0.006396293640136719,,0,network_transfer,
2,CS,C1,CS->C1,AggMsg,1,1,,2110553,0.028605468571186066,http,3663cf051f883ec2aec6bac390085879b61829921e1eade678835cfb93af1fd1,127.0.0.1,9401,25511361.257838476,25511361.286443945,1782827247.6354122,1782827247.645567,0.01015472412109375,,0,network_transfer,
2,C1,CS,C1->CS,ShareMsg,1,1,,515,0.0020137466490268707,http,542c2437cd4c5ea4b8a1c173aa433776c984c8bfb12ce2e0c011f7c8b720307c,127.0.0.1,9300,25511361.28361156,25511361.285625305,1782827247.6444314,1782827247.6447194,0.0002880096435546875,,0,network_transfer,
2,CS,C2,CS->C2,AggMsg,1,2,,2110553,0.030921481549739838,http,c416e1e2f0282d0e00ad4f7699f50fa37b32db04698e3881648bf1e443cb5980,127.0.0.1,9402,25511361.322058775,25511361.352980256,1782827247.6999187,1782827247.7120683,0.012149572372436523,,0,network_transfer,
2,C2,CS,C2->CS,ShareMsg,1,2,,512,0.001717306673526764,http,a5af38fea2ef3e28aba0412e1eb08aa95d5599ea9ce77d463b6dc261e8a8296a,127.0.0.1,9300,25511361.350461558,25511361.352178864,1782827247.7110333,1782827247.7113016,0.0002682209014892578,,0,network_transfer,
2,CS,C3,CS->C3,AggMsg,1,3,,2110553,0.03015659749507904,http,a595456f37aa50f59bb59f00a8dd7d4d18a1fe6a180ef9dbb74c252b26b14f3d,127.0.0.1,9403,25511361.391589,25511361.4217456,1782827247.7699566,1782827247.7808387,0.010882139205932617,,0,network_transfer,
2,C3,CS,C3->CS,ShareMsg,1,3,,513,0.0018799863755702972,http,0c5c09617b317826825307762f2ae295edbad98378a270bfef2ed4af98290ca0,127.0.0.1,9300,25511361.41907511,25511361.420955095,1782827247.779797,1782827247.7800863,0.0002892017364501953,,0,network_transfer,
2,CS,C4,CS->C4,AggMsg,1,4,,2110553,0.027955133467912674,http,8660c49db9be6ad44eb802b534039e05b90dbc49f714e161a741dbc54013fb83,127.0.0.1,9404,25511361.459247783,25511361.487202916,1782827247.8362193,1782827247.846384,0.010164737701416016,,0,network_transfer,
2,C4,CS,C4->CS,ShareMsg,1,4,,511,0.0018364004790782928,http,88039997e9ee5cddd7a2856b536d28e28971d6c38937542dec409e6e2543cd42,127.0.0.1,9300,25511361.48466216,25511361.48649856,1782827247.8453794,1782827247.8456473,0.00026798248291015625,,0,network_transfer,
2,CS,C5,CS->C5,AggMsg,1,5,,2110553,0.03005092218518257,http,96f206c39230d9554907fbd31ccd68d83a2c3ec5cf1907f68422e173fb57d1af,127.0.0.1,9405,25511361.524385303,25511361.554436225,1782827247.9026663,1782827247.9134963,0.010829925537109375,,0,network_transfer,
2,C5,CS,C5->CS,ShareMsg,1,5,,511,0.001859765499830246,http,23a0ca2a368ef65a093a49d424c52b1f546667ceb87abd2ebdedb122307016ac,127.0.0.1,9300,25511361.55170365,25511361.553563416,1782827247.912375,1782827247.9126322,0.00025725364685058594,,0,network_transfer,
2,CS,C1,CS->C1,ModelBroadcast,1,1,,78390,0.026479855179786682,http,ae1bb216913aab4a0fdca09a7c8ef5ef7ce9d755a269424b87c7bd961a71007d,127.0.0.1,9401,25511379.95033873,25511379.976818584,1782827266.3114223,1782827266.3357558,0.024333477020263672,,0,network_transfer,
