round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,44,1800.0209044963121,error,,127.0.0.1,9300,66047929.36314325,66049729.38404775,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.3814293071627617,http,d9802d0ab3a95dfd3a6e914aad31eb7e6f67e33c5cf31e3e9f1ed9eaf4f5977c,127.0.0.1,9200,66047929.385135226,66047929.76656453,1782909673.3187757,1782909673.6900344,0.3712587356567383,,1,end_to_end_with_processing,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.3246643766760826,http,cbbb198669f1bc162d6a90a46d3ada077ba99bcd86cc6d310a2f1095659be2cd,127.0.0.1,9200,66047931.933941066,66047932.25860544,1782909675.8677044,1782909676.1900184,0.3223140239715576,,1,end_to_end_with_processing,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.331427313387394,http,a35dbf477d4c13d5c34c864bf4e3f7d3c6df81afd91a1e7586ff79c0a3a66c72,127.0.0.1,9401,66047932.26007234,66047954.59149966,1782909676.1951602,1782909698.522713,22.327552795410156,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,22.400832660496235,http,1b749dab44e33275b0647395661b5be5a902fee63672c00f24bdc299319d3e45,127.0.0.1,9402,66047932.261170015,66047954.662002675,1782909676.1975164,1782909698.5933464,22.395829916000366,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,22.472839318215847,http,1bb0b169252bd771bef8e1c8910fb10887e58b429fec2e0371e75907a27c71b8,127.0.0.1,9403,66047932.26252733,66047954.73536665,1782909676.1987367,1782909698.6664572,22.46772050857544,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,22.349879451096058,http,7c0e5d2c9ccdf18f1c0c7770b071f200f096e13cbfceb111c87043877a5dd238,127.0.0.1,9404,66047932.2639195,66047954.61379895,1782909676.1985798,1782909698.5412672,22.342687368392944,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,22.294052608311176,http,50073da6420844213b64331c5f6574ec6d430cb94037b1882dcdcbd50a071d7c,127.0.0.1,9405,66047932.26502312,66047954.55907573,1782909676.199621,1782909698.4905427,22.290921688079834,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.25780949741601944,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66047954.73650012,66047954.99430962,1782909698.6703155,1782909698.84421,0.17389440536499023,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
1,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.008127354085445404,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66047954.99491357,66047955.003040925,1782909698.9284792,1782909698.9320402,0.0035610198974609375,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
