payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,248,523414026,7.090445164591074,2.565204620361328,248,0,499.16651344299316
CompensationReq,50,391,42.11877716705203,41.91750383377075,0,50,0.00037288665771484375
InitModel,5,3113439,0.18361563608050346,0.14616799354553223,5,0,2.9692068099975586
MaskMsg,250,5797616,4.838185783475637,4.367941856384277,250,0,5.5290374755859375
ModelBroadcast,248,19441020,7.228186767548323,6.637458801269531,248,0,18.540401458740234
ModelMsg,50,3896880,100.37863063439727,100.21773266792297,0,50,3.7163543701171875
ModelSyncReq,2,398,0.020993907004594803,0.01042032241821289,2,0,0.0003795623779296875
ModelSyncResp,2,155560,0.020993907004594803,0.01042032241821289,2,0,0.14835357666015625
PublicKeyReq,5,75,0.01109396293759346,0.00024771690368652344,5,0,7.152557373046875e-05
RoundInitReq,50,16341,11.623771961778402,11.525161504745483,0,50,0.015583992004394531
SetupReq,1,1331,0.28905290365219116,0.2764720916748047,0,1,0.0012693405151367188
ShareMsg,248,127362,0.4491918310523033,0.0681467056274414,248,0,0.12146186828613281
StartExperiment,1,44,1800.101922761649,0.0,0,1,4.1961669921875e-05
TrainUploadReq,248,48315,6108.449659887701,6107.537731409073,0,248,0.04607677459716797
UpMsg,496,1046994688,11.705441240221262,3.1810600757598877,496,0,998.491943359375
VerifyUploadsReq,50,391,13.709805186837912,8.35336422920227,0,50,0.00037288665771484375
