round,test_loss,test_accuracy,effective_clients,dropout_clients
0,2.309904888817708,0.1009,0,0
1,2.297433313620314,0.1135,5,0
2,1.8413113060019333,0.5266,5,0
3,0.4267418725231267,0.8752,5,0
4,0.2823975501125522,0.9184,5,0
5,0.21997746292925607,0.9334,5,0
6,0.17115403271927654,0.9501,5,0
7,0.1480638601909637,0.953,5,0
8,0.12280263227228688,0.9618,5,0
9,0.10360061917729473,0.9666,5,0
10,0.09644645715345242,0.9703,4,1
11,0.08935381872446291,0.9707,5,0
12,0.0840046744585099,0.9728,5,0
13,0.0856099767698578,0.9707,5,0
14,0.07470581035800568,0.9763,5,0
15,0.07594551242183825,0.9753,5,0
16,0.07220865587527767,0.9771,5,0
17,0.07468357811316305,0.9749,5,0
18,0.0663014797262377,0.9781,5,0
19,0.06563632205223208,0.9783,5,0
20,0.06750553517063683,0.9774,5,0
21,0.06013127419624065,0.9804,5,0
22,0.06602163069864393,0.9793,5,0
23,0.05805033958115097,0.9812,5,0
24,0.059448017314892306,0.9799,5,0
25,0.0589441865658478,0.9815,4,1
26,0.06302404571282827,0.9793,5,0
27,0.05675673783734251,0.9813,5,0
28,0.053733487105181096,0.9823,5,0
29,0.05471347642824696,0.9817,5,0
30,0.055865180298436,0.9818,5,0
31,0.05315982212495707,0.9831,5,0
32,0.054516299076616585,0.9827,5,0
33,0.05047613883096639,0.9836,5,0
34,0.04967655987821686,0.9842,5,0
35,0.050098957558716156,0.9831,5,0
36,0.0497801496028192,0.9838,5,0
37,0.04866602842356309,0.9839,5,0
38,0.04979974511649994,0.9832,5,0
39,0.050036315639144985,0.983,5,0
40,0.049595110279506346,0.9845,5,0
41,0.0479327581319281,0.9848,5,0
42,0.04981279811009575,0.983,5,0
43,0.04856944745233001,0.9845,5,0
44,0.04742522562157834,0.9846,5,0
45,0.049247306005006194,0.9834,5,0
46,0.048215192023156245,0.9846,5,0
47,0.05049002023050517,0.9827,5,0
48,0.048417139053821806,0.9837,5,0
49,0.04560156165152191,0.9851,5,0
50,0.046757105416679275,0.9845,5,0
