round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.477214641869068
1,client_weight_compute,client aggregation weight,5,1.0475516319274902e-05
1,client_local_train,local SGD training,5,3.3070850744843483
1,client_model_delta,weighted local model delta,5,0.0005483552813529968
1,client_quant_encode,fixed-point quantization and signed encoding,5,9.651482105255127e-05
1,client_masking,xMask = x + m,5,4.139542579650879e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.560532316565514
1,client_cipher_hash,hash encrypted vector,5,0.029609881341457367
1,client_pedersen_commit,Pedersen vector commitment,5,2.2854303494095802
1,client_receipt_sign,sign upload receipt,5,0.0006887614727020264
1,client_upload_pack,build upload message,5,0.013131879270076752
1,client_weight_compute,client aggregation weight,1,6.16908073425293e-06
1,client_local_train,local SGD training,1,3.2412571161985397
1,client_model_delta,weighted local model delta,1,0.0005186870694160461
1,client_quant_encode,fixed-point quantization and signed encoding,1,9.900331497192383e-05
1,client_masking,xMask = x + m,1,4.077702760696411e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.618359439074993
1,client_cipher_hash,hash encrypted vector,1,0.03413188457489014
1,client_pedersen_commit,Pedersen vector commitment,1,2.315281927585602
1,client_receipt_sign,sign upload receipt,1,0.0006881430745124817
1,client_upload_pack,build upload message,1,0.012151733040809631
1,client_weight_compute,client aggregation weight,4,9.141862392425537e-06
1,client_local_train,local SGD training,4,3.203491546213627
1,client_model_delta,weighted local model delta,4,0.0005769208073616028
1,client_quant_encode,fixed-point quantization and signed encoding,4,0.00010708719491958618
1,client_masking,xMask = x + m,4,4.471093416213989e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.695481650531292
1,client_cipher_hash,hash encrypted vector,4,0.02474699169397354
1,client_pedersen_commit,Pedersen vector commitment,4,2.310746617615223
1,client_receipt_sign,sign upload receipt,4,0.0006856247782707214
1,client_upload_pack,build upload message,4,0.01207529753446579
1,client_weight_compute,client aggregation weight,2,1.055002212524414e-05
1,client_local_train,local SGD training,2,3.244717016816139
1,client_model_delta,weighted local model delta,2,0.0005100443959236145
1,client_quant_encode,fixed-point quantization and signed encoding,2,0.00010294467210769653
1,client_masking,xMask = x + m,2,4.1738152503967285e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.73044914007187
1,client_cipher_hash,hash encrypted vector,2,0.024961858987808228
1,client_pedersen_commit,Pedersen vector commitment,2,2.294635847210884
1,client_receipt_sign,sign upload receipt,2,0.0006779283285140991
1,client_upload_pack,build upload message,2,0.011616446077823639
1,client_weight_compute,client aggregation weight,3,1.2062489986419678e-05
1,client_local_train,local SGD training,3,3.451550304889679
1,client_model_delta,weighted local model delta,3,0.0005412772297859192
1,client_quant_encode,fixed-point quantization and signed encoding,3,0.00010526925325393677
1,client_masking,xMask = x + m,3,4.27737832069397e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.58162136375904
1,client_cipher_hash,hash encrypted vector,3,0.024910099804401398
1,client_pedersen_commit,Pedersen vector commitment,3,2.304693825542927
1,client_receipt_sign,sign upload receipt,3,0.0006946921348571777
1,client_upload_pack,build upload message,3,0.012584187090396881
2,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.375009022653103
2,client_weight_compute,client aggregation weight,4,6.387382745742798e-05
2,client_local_train,local SGD training,4,3.1911008656024933
2,client_model_delta,weighted local model delta,4,0.00046097487211227417
2,client_quant_encode,fixed-point quantization and signed encoding,4,7.617473602294922e-05
2,client_masking,xMask = x + m,4,3.266334533691406e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.554071880877018
2,client_cipher_hash,hash encrypted vector,4,0.023107893764972687
2,client_pedersen_commit,Pedersen vector commitment,4,2.168877311050892
2,client_receipt_sign,sign upload receipt,4,0.0006526336073875427
2,client_upload_pack,build upload message,4,0.012115344405174255
2,client_weight_compute,client aggregation weight,5,2.5831162929534912e-05
2,client_local_train,local SGD training,5,3.309460259974003
2,client_model_delta,weighted local model delta,5,0.00043517351150512695
2,client_quant_encode,fixed-point quantization and signed encoding,5,7.016211748123169e-05
2,client_masking,xMask = x + m,5,3.2939016819000244e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.55850224941969
2,client_cipher_hash,hash encrypted vector,5,0.024517998099327087
2,client_pedersen_commit,Pedersen vector commitment,5,2.208917126059532
2,client_receipt_sign,sign upload receipt,5,0.0006104707717895508
2,client_upload_pack,build upload message,5,0.011552073061466217
2,client_weight_compute,client aggregation weight,3,6.240606307983398e-05
2,client_local_train,local SGD training,3,3.4813790768384933
2,client_model_delta,weighted local model delta,3,0.0004753619432449341
2,client_quant_encode,fixed-point quantization and signed encoding,3,7.764995098114014e-05
2,client_masking,xMask = x + m,3,3.392249345779419e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.496676184237003
2,client_cipher_hash,hash encrypted vector,3,0.025254301726818085
2,client_pedersen_commit,Pedersen vector commitment,3,2.163994811475277
2,client_receipt_sign,sign upload receipt,3,0.0005876719951629639
2,client_upload_pack,build upload message,3,0.011710993945598602
2,client_weight_compute,client aggregation weight,1,4.079937934875488e-05
2,client_local_train,local SGD training,1,3.2592519596219063
2,client_model_delta,weighted local model delta,1,0.0004061385989189148
2,client_quant_encode,fixed-point quantization and signed encoding,1,6.998330354690552e-05
2,client_masking,xMask = x + m,1,3.229081630706787e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.666274920105934
2,client_cipher_hash,hash encrypted vector,1,0.02469002455472946
2,client_pedersen_commit,Pedersen vector commitment,1,2.2274777814745903
2,client_receipt_sign,sign upload receipt,1,0.0006031543016433716
2,client_upload_pack,build upload message,1,0.010840125381946564
2,client_weight_compute,client aggregation weight,2,4.447251558303833e-05
2,client_local_train,local SGD training,2,3.2683934047818184
2,client_model_delta,weighted local model delta,2,0.000459231436252594
2,client_quant_encode,fixed-point quantization and signed encoding,2,7.718056440353394e-05
2,client_masking,xMask = x + m,2,3.311038017272949e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.603591106832027
2,client_cipher_hash,hash encrypted vector,2,0.024172469973564148
2,client_pedersen_commit,Pedersen vector commitment,2,2.36993944644928
2,client_receipt_sign,sign upload receipt,2,0.0006293132901191711
2,client_upload_pack,build upload message,2,0.011518411338329315
3,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.887106768786907
3,client_weight_compute,client aggregation weight,1,3.976374864578247e-05
3,client_local_train,local SGD training,1,3.64180176705122
3,client_model_delta,weighted local model delta,1,0.00043664127588272095
3,client_quant_encode,fixed-point quantization and signed encoding,1,6.987154483795166e-05
3,client_masking,xMask = x + m,1,3.231316804885864e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.52425440400839
3,client_cipher_hash,hash encrypted vector,1,0.023474156856536865
3,client_pedersen_commit,Pedersen vector commitment,1,2.1836328580975533
3,client_receipt_sign,sign upload receipt,1,0.000626392662525177
3,client_upload_pack,build upload message,1,0.011444538831710815
3,client_weight_compute,client aggregation weight,4,3.208965063095093e-05
3,client_local_train,local SGD training,4,3.618272840976715
3,client_model_delta,weighted local model delta,4,0.0004250258207321167
3,client_quant_encode,fixed-point quantization and signed encoding,4,7.28219747543335e-05
3,client_masking,xMask = x + m,4,3.0860304832458496e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.569869600236416
3,client_cipher_hash,hash encrypted vector,4,0.025728359818458557
3,client_pedersen_commit,Pedersen vector commitment,4,2.181005783379078
3,client_receipt_sign,sign upload receipt,4,0.000592254102230072
3,client_upload_pack,build upload message,4,0.012076780200004578
3,client_weight_compute,client aggregation weight,5,3.7223100662231445e-05
3,client_local_train,local SGD training,5,3.511235199868679
3,client_model_delta,weighted local model delta,5,0.00043980032205581665
3,client_quant_encode,fixed-point quantization and signed encoding,5,7.494539022445679e-05
3,client_masking,xMask = x + m,5,3.28943133354187e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.824994325637817
3,client_cipher_hash,hash encrypted vector,5,0.023548252880573273
3,client_pedersen_commit,Pedersen vector commitment,5,2.213366650044918
3,client_receipt_sign,sign upload receipt,5,0.0006330609321594238
3,client_upload_pack,build upload message,5,0.012052744626998901
3,client_weight_compute,client aggregation weight,3,4.280358552932739e-05
3,client_local_train,local SGD training,3,3.7700522020459175
3,client_model_delta,weighted local model delta,3,0.0004596710205078125
3,client_quant_encode,fixed-point quantization and signed encoding,3,7.133930921554565e-05
3,client_masking,xMask = x + m,3,3.247708082199097e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.604249387979507
3,client_cipher_hash,hash encrypted vector,3,0.02370797097682953
3,client_pedersen_commit,Pedersen vector commitment,3,2.247434303164482
3,client_receipt_sign,sign upload receipt,3,0.0006109327077865601
3,client_upload_pack,build upload message,3,0.011134594678878784
3,client_weight_compute,client aggregation weight,2,4.468858242034912e-05
3,client_local_train,local SGD training,2,3.5812684893608093
3,client_model_delta,weighted local model delta,2,0.0004492327570915222
3,client_quant_encode,fixed-point quantization and signed encoding,2,7.560849189758301e-05
3,client_masking,xMask = x + m,2,3.285706043243408e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.953968949615955
3,client_cipher_hash,hash encrypted vector,2,0.02439771592617035
3,client_pedersen_commit,Pedersen vector commitment,2,2.2094502300024033
3,client_receipt_sign,sign upload receipt,2,0.0006225183606147766
3,client_upload_pack,build upload message,2,0.010754115879535675
4,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.854057379066944
4,client_weight_compute,client aggregation weight,2,4.541128873825073e-05
4,client_local_train,local SGD training,2,3.3029769882559776
4,client_model_delta,weighted local model delta,2,0.000477030873298645
4,client_quant_encode,fixed-point quantization and signed encoding,2,9.149312973022461e-05
4,client_masking,xMask = x + m,2,3.343075513839722e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.812342658638954
4,client_cipher_hash,hash encrypted vector,2,0.023907698690891266
4,client_pedersen_commit,Pedersen vector commitment,2,2.2556868568062782
4,client_receipt_sign,sign upload receipt,2,0.0006112828850746155
4,client_upload_pack,build upload message,2,0.010821692645549774
4,client_weight_compute,client aggregation weight,4,6.572902202606201e-05
4,client_local_train,local SGD training,4,3.3064785972237587
4,client_model_delta,weighted local model delta,4,0.0005395710468292236
4,client_quant_encode,fixed-point quantization and signed encoding,4,0.000105343759059906
4,client_masking,xMask = x + m,4,4.711747169494629e-05
