round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,47,277.4642024999994,http,d269e7e00c249c0457b33f28de66bdd1a1c149a645b5042867643a98a03cc0a6,127.0.0.1,9300,11342.9122883,11620.3764908,1781627829.5264857,1781628106.7270868,277.20060110092163,,1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,40.58840860000055,http,35bc96959d234bfb1fb4604c180afe7f7d750d6fe1a201774dc6d124ac9e6222,127.0.0.1,9401,11345.1861667,11385.7745753,1781627831.542241,1781627872.1265333,40.58429217338562,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,41.08582550000028,http,f3b7692c990334f72c193e29e3acda1a677d8466dcc6efb4a467da5268699e37,127.0.0.1,9402,11345.1868701,11386.2726956,1781627831.543049,1781627872.6249034,41.08185434341431,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,40.72666769999887,http,1ae481cf23fdfd37c20077ca8ae3803ec9a5669e1a9cab994404584249ddcbad,127.0.0.1,9403,11345.1877,11385.9143677,1781627831.543049,1781627872.2660277,40.722978591918945,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,40.49177910000071,http,31273071cf40c027f9f8d375c14c3c634178aa8aa4011ab7ec4302b0198a8a24,127.0.0.1,9404,11345.1884077,11385.6801868,1781627831.5441444,1781627872.03109,40.48694562911987,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,40.92100860000028,http,a501e947d794fad22da100ddb434823818d54bc5635787c2a61e37681b1e7543,127.0.0.1,9405,11345.1891943,11386.1102029,1781627831.5441444,1781627872.462156,40.91801166534424,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.28820099999938975,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,11386.2740976,11386.5622986,1781627872.6480758,1781627872.8187044,0.17062854766845703,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
1,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.026189899999735644,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,11386.5641619,11386.5903518,1781627872.9408398,1781627872.941856,0.0010161399841308594,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
1,CS,KGC,CS->KGC,ModelMsg,1,,,77935,0.5463218000004417,http,b3c343c103e7c38a57c139d49168eb8f5e860d6ccb6c6b95d5c1621eb6999063,127.0.0.1,9200,11400.8214463,11401.3677681,1781627887.2050161,1781627887.7199936,0.5149774551391602,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
2,CS,C1,CS->C1,TrainUploadReq,1,1,,194,34.05635760000041,http,cf418e81068e6d844c48eb5caae4d48db41e59237d0a50d0a8f12e5cc8ff7dec,127.0.0.1,9401,11401.7207341,11435.7770917,1781627888.0766277,1781627922.1288795,34.0522518157959,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C2,CS->C2,TrainUploadReq,1,2,,194,34.23645300000135,http,7bd3f97214e5b584effa3bb2f76c39539fa2f4820de0f9535a8ffe7f638d460b,127.0.0.1,9402,11401.7212778,11435.9577308,1781627888.0766277,1781627922.3086991,34.23207139968872,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C3,CS->C3,TrainUploadReq,1,3,,194,33.97675420000087,http,f3c43d35ae8578d8e1087c1e65146f80f7158095ebbc3a88beb06aea3ab7c552,127.0.0.1,9403,11401.7222742,11435.6990284,1781627888.078633,1781627922.0509589,33.972325801849365,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C4,CS->C4,TrainUploadReq,1,4,,194,34.18195910000031,http,4f9e5119dd42b909e2fc2db5022d0a8b8919af052273a3dd2b275bc7ab109699,127.0.0.1,9404,11401.7228414,11435.9048005,1781627888.078633,1781627922.2473516,34.168718576431274,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C5,CS->C5,TrainUploadReq,1,5,,194,34.344931200001156,http,691dd0248c9c7375c29d0c759bad6025d67104cbe139e4d67dcda5e9d615effe,127.0.0.1,9405,11401.7236158,11436.068547,1781627888.078633,1781627922.4205916,34.34195852279663,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.2983730000014475,http,ec536b417462bb658a4b0202b8f04e538bdec7b849e0c55d92fd1df6844b552a,127.0.0.1,9200,11436.0699813,11436.3683543,1781627922.4351485,1781627922.6148918,0.17974328994750977,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
