payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,24,50603310,1.2555166999991343,0.6156811714172363,24,0,48.259077072143555
CompensationReq,5,35,18.048771800000395,17.923490524291992,0,5,3.337860107421875e-05
InitModel,5,3113442,0.20774979999987409,0.12727117538452148,5,0,2.969209671020508
MaskMsg,25,579670,0.6943221000001358,0.16403913497924805,25,0,0.5528163909912109
ModelBroadcast,24,1881324,0.5548274999910063,0.31743955612182617,24,0,1.7941703796386719
ModelMsg,5,389679,2.6416487999977107,2.5330491065979004,0,5,0.3716268539428711
ModelSyncReq,1,198,0.021817999999257154,0.0032896995544433594,1,0,0.0001888275146484375
ModelSyncResp,1,77779,0.021817999999257154,0.0032896995544433594,1,0,0.07417583465576172
PublicKeyReq,5,75,0.250977800002147,0.0,5,0,7.152557373046875e-05
RoundInitReq,5,1630,1.069569400000546,0.9938366413116455,5,0,0.0015544891357421875
SetupReq,1,1331,0.6282120999985636,0.594836950302124,1,0,0.0012693405151367188
ShareMsg,24,12317,0.4801364000013564,0.013911247253417969,24,0,0.011746406555175781
StartExperiment,1,47,277.4642024999994,277.20060110092163,0,1,4.482269287109375e-05
TrainUploadReq,24,4656,862.783335800008,862.6907241344452,0,24,0.0044403076171875
UpMsg,48,101222704,2.6927057999982935,0.40656375885009766,48,0,96.53349304199219
VerifyUploadsReq,5,35,1.3786478000001807,0.8289523124694824,0,5,3.337860107421875e-05
