round,metric,value
1,model_dimension,6794
1,model_name,tiny_cnn
1,effective_clients,5
1,dropout_clients,0
1,pedersen_commitments,7
1,paillier_encryptions,33970
1,paillier_ciphertexts_aggregated,33970
1,compensation_encryptions,0
1,compensation_identity_optimized,1
2,model_dimension,6794
2,model_name,tiny_cnn
2,effective_clients,5
2,dropout_clients,0
2,pedersen_commitments,7
2,paillier_encryptions,33970
2,paillier_ciphertexts_aggregated,33970
2,compensation_encryptions,0
2,compensation_identity_optimized,1
3,model_dimension,6794
3,model_name,tiny_cnn
3,effective_clients,4
3,dropout_clients,1
3,pedersen_commitments,7
3,paillier_encryptions,33970
3,paillier_ciphertexts_aggregated,27176
3,compensation_encryptions,6794
3,compensation_identity_optimized,0
4,model_dimension,6794
4,model_name,tiny_cnn
4,effective_clients,5
4,dropout_clients,0
4,pedersen_commitments,7
4,paillier_encryptions,33970
4,paillier_ciphertexts_aggregated,33970
4,compensation_encryptions,0
4,compensation_identity_optimized,1
5,model_dimension,6794
5,model_name,tiny_cnn
5,effective_clients,5
5,dropout_clients,0
5,pedersen_commitments,7
5,paillier_encryptions,33970
5,paillier_ciphertexts_aggregated,33970
5,compensation_encryptions,0
5,compensation_identity_optimized,1
