round,alpha,rootUp,ComAggHash,modelHashR,modelHashNext,auditRoot,sigFinal_len
1,0xee56755b35a86e3555f2adc00e96d7e0966c0e89f0e03afb5bc5c90040f37ab0,0x8d7a0bd53fa12e1bff952da5cae91c2f4549deed18b2ea9cc39b36b09076b22f,0xcd5187d807c23a962dddcf44518b50ef41e6ef57601d05cb6b421550a75afee1,0x4aab5806c11282e8ae0e6067d2bbd5ef39c09d8dcabf5ca84c9ee52c85f813d4,0xbd1eb14efee295af81b37ce09d2bcc05eeb59d853a6fa044a6245dd17fe4aeef,0x14c600fa86047e7a24355298024e85b7be6e2cb3ef05b2ccd68e2c10c9b97f6b,142
2,0xa738fbdc6d6f9a81b756a3cd63b098ecf807e2aa6c986afbb8af36ae74e301d3,0x5f0843553864aa8776fb9796983b3fa3d26b1df0a81417ed77b8cd3905115209,0xb9249902fbb16224b086645364b2fcb1ca129dbd8cc08d91eefe4b12cf86b0f7,0xbd1eb14efee295af81b37ce09d2bcc05eeb59d853a6fa044a6245dd17fe4aeef,0xff995409e00fc5da7e736b79f489a4d8eb0666f8a6ba77584f07d149ed8a21d2,0x518986c8128e5df5f1d1ef4c55bb1a1f0ed259d2a77dcd3a6647364e8ee0ecb0,144
3,0xc9f660c2ab030040312d6b5c8f7e947ebc94b87913a1b95b910d75b61b075695,0xc0eb3d010953ea2a556ecf121cffe9123bbd38aeee30201c359b6ceff024c389,0x1256821f3d84ac9632c0b01bfc645bd92c5139b17eff45e91bf8512a2446a87a,0xff995409e00fc5da7e736b79f489a4d8eb0666f8a6ba77584f07d149ed8a21d2,0xf90cb2fba99c887247f6ce871df8b5f72f390bb70024cee765988cd6b1373f7b,0x6a1ada7fd7ea8fe2e43df015e967f91a433935627b231d6fb3b6bb2a2f165c70,142
4,0x9fd90bcb0157b1303df99e77080829ea5bf49140425302064e97de62e92bc8ce,0x982a65b9feeec5db6f445905821c87ba1d106d80fb191972ec9c166f21562a1a,0x27ca82b29b9275ee661500dbb58f3a44b6eea2017d2d03c891f8da0f96ed5f26,0xf90cb2fba99c887247f6ce871df8b5f72f390bb70024cee765988cd6b1373f7b,0x37b543e0a11b680b728b3f4264cb108642f1a98367e4cc3e9e3854f2c2b0a843,0x1da58e00432ea0e47bf5fb5e2c52364606f0cecb75c07ac72e6a78161b871856,142
5,0xeab216ad4d22a307bb04218bf0c0a25349905ba170b3a732458192c9da26021c,0xc3610960bf3f6c2a638b45143b6480907ff127734309b09626004dd28313fdbc,0x8aa06f3a2571dae48c9c8b456667dc4a2f778c759beaf905808554ea3b3f4f1e,0x37b543e0a11b680b728b3f4264cb108642f1a98367e4cc3e9e3854f2c2b0a843,0xe23bc96f3e7f4eaca50aabc2f6c81c6cf2af91d20e069ca8c9de87f88e676f56,0x229ddeb514b6e399cfe6ced36490987beafbdc4313835cb87804d907ff2f25d3,144
6,0x2b4744bd64169dd55b4c3baebe65aa91d54c5c625bad3c92ade2027dfc65177c,0xc543ddbde0715df2dba9ed4d985c2fe852e2c7ff954d7e6326ae6099c44212d5,0xe650ba2f70bf03d3e4c4fdca6f1dbf06a789bd57a045d99e43a938c41c4e9c16,0xe23bc96f3e7f4eaca50aabc2f6c81c6cf2af91d20e069ca8c9de87f88e676f56,0x875b546b058a45bbae4363bf064892147ef209c3e3641d2807a99feb430ed68a,0xd40540bd0291384d87a839a8cff1976a67aa9acfc94f1a86838c89367da52591,142
7,0xadefa74ad5cfd7b01058504fdd268111fadb741e9e3d65cc16d6cacba4896c98,0x52b4ed7f706a7ac3a13d5e5c102cff23dc5473a22bf5e0afb2302ec2cce7a3e6,0x3e7c6c8632a4107defc86d6144ef8b1e94d161dc65ae3b2ceb0fb8c5fd68b309,0x875b546b058a45bbae4363bf064892147ef209c3e3641d2807a99feb430ed68a,0x945108f39eeee6c439ada4d7364e2ec9155e64499dc322ba5d9f86918ceb91d5,0x60a0ca164ccc47c31aa553a7cfdebfee56a3e31cd1c7b6367e6f9325f80fb637,144
8,0x51541984c469915eacee2458c173ba8317297cc8aadbc5d4c9badb2a75917ceb,0x9f7dbfab3dfbc9d9121aa598dc850379d76c2bc14a174a28a5a7a7f5635009a8,0x5eced05fa6b8933f6a186d50e2d9100621653d0b2715e65bd5f794e5a1140089,0x945108f39eeee6c439ada4d7364e2ec9155e64499dc322ba5d9f86918ceb91d5,0x033c33b39d3217c5fcf5f28a2537fb2976cc73f81c8866c39fbf58a2051af6ab,0x5cd71d894059bffbc5e48d6c96269bf9c98c6b77a90560e022213a84a58757ab,142
9,0xedb54ff89c211f6cd90e1f135361aca1b5863a5d2550000310c1ff11124f7795,0x201445b9913b96b0f6d37b003ca5f6be009af8baa804bad8b13e55faad5fc0b6,0xdf54fe50c8b65191c4c9f572cc4f8f064eae1941ba4775c987666466c17d0372,0x033c33b39d3217c5fcf5f28a2537fb2976cc73f81c8866c39fbf58a2051af6ab,0x6c5ad1e814640825266020b1bbabccd62832852e54c89ef82c7997f62ad8430f,0x5e3a6fbbca47ecc92e2619a5df24afc6adbeea9fec8224caf7d2d65b3b848e02,140
10,0x9be8990ed0cef5befb06fda9ca527367ff2384d7aee609c373a023c8cff60711,0xb5b22c960eb0c7c847bdb3cc83db38e4a48ab02df7d34a27715877e1a5616f75,0x59d0999da21059b0284c198f33e300a855998be4d451a3ed0fe84d7ee00b9ca9,0x6c5ad1e814640825266020b1bbabccd62832852e54c89ef82c7997f62ad8430f,0x4a40cc12e3c02fe26f6cff38dd998138f3af7eebacefc7e8fac14a9177e9385c,0x79c70e2b9c6df21ff2b2e87a4ef7a26ac9fec272aec382476e8526e04e1c669e,142
