round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
0,InitTx,7aab73fc35a3570171af546eedfdbee44667f9b5d494322c0359a0bfcac7b4b9,22,82006,0.0533276999994996,1
1,FinalTx,861a326bd4c53675971142ae3d7204b6f88f165b989aa2c5c58199050c2eccfe,23,67553,0.0590888000006089,1
2,FinalTx,475bd0feba37b03ee4d0a6ce9e2163e2b94763db96c04db36106c6c060708bf0,24,50477,0.08910269999978482,1
3,FinalTx,996d4a1afb3148db7a5909e3f63c42e75fadf6ba21c71cf715036aa6b523771e,25,50453,0.05235259999972186,1
4,FinalTx,0b0dc160f0fa6f247286b02513e793b93d5ee0ae4da4ce181223089dab6153a5,26,50441,0.04403950000050827,1
5,FinalTx,3e40fbcd4b92be35af228a0713f74dabd60555a7aa2d7e4646c9ebac1b92201f,27,50465,0.033273500001087086,1
6,FinalTx,afaecbbbb50eae980e5cb0a801940911bd1ba8a4661fb5ad016b3f8d0e06a498,28,50477,0.05572310000206926,1
7,FinalTx,f1984a2e15965d6fde2f0399b4b0e0f4f70304d0a05a2f9453e375c30b1277cd,29,50477,0.052126400001725415,1
8,FinalTx,051a3abfd1d29eb946d4b317f15f497925e8ab42111761fb57795a672f3f9951,30,50453,0.03943549999894458,1
9,FinalTx,12f6b415b19a4ac647efbb8775b4a0150a66da7db6fb2aec87540b4c4f1a6880,31,50441,0.04000140000061947,1
10,FinalTx,ce0eac2264be8dd5e42037f4d07064d0285dfe1fb5848a9da13281058fcf7434,32,50453,0.05548650000127964,1
