round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.11270180000065011,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,16507.3196125,16507.4323143,1781632993.7847695,1781632993.7847695,0.0,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.021921100000326987,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,16507.4331672,16507.4550883,1781632993.8073971,1781632993.8073971,0.0,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.013356300001760246,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,16507.4560087,16507.469365,1781632993.8215616,1781632993.8215616,0.0,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.014976900001784088,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,16507.4700494,16507.4850263,1781632993.837005,1781632993.837005,0.0,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.0028615999981411733,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,16507.4860985,16507.4889601,1781632993.839499,1781632993.839499,0.0,,0,network_transfer,
0,CS,C1,CS->C1,InitModel,1,1,,622686,0.03210480000052485,http,4b5bf120c127c0359fef49653e32ddff5d7590228294bf2f32639b9800b864c8,127.0.0.1,9401,16507.86758,16507.8996848,1781632994.2354755,1781632994.2485795,0.013103961944580078,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622686,0.03190350000295439,http,810c8ced25c4912918fbe52de2fe03e1bf2ad3b8760f9d645e26b4e332f671bc,127.0.0.1,9402,16507.9082689,16507.9401724,1781632994.2751062,1781632994.2928,0.017693758010864258,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622686,0.03991839999798685,http,83c799a4a8303e91f89ae4dc1d7c4f52c0d4918c8c16468acf4855950693148d,127.0.0.1,9403,16507.9479786,16507.987897,1781632994.3229444,1781632994.340213,0.017268657684326172,,0,network_transfer,
0,CS,C4,CS->C4,InitModel,1,4,,622686,0.03464890000032028,http,b539bc966824b19a3e5504f80818f8c4010332f2b39fffeba61ed6d43dc6c19f,127.0.0.1,9404,16507.995531,16508.0301799,1781632994.362754,1781632994.3829775,0.020223379135131836,,0,network_transfer,
0,CS,C5,CS->C5,InitModel,1,5,,622687,0.03209160000187694,http,809dc7475b65d8c99132370afb7bdeaf450bbd101e860dafc490a4a80fa8e4ad,127.0.0.1,9405,16508.0389468,16508.0710384,1781632994.4070866,1781632994.4230492,0.015962600708007812,,0,network_transfer,
1,KGC,C1,KGC->C1,MaskMsg,1,1,,22978,0.11282869999922696,http,2887c6b4c5cca062ab158c734f77b62389c61072a0b174d392ce26a7226ecb65,127.0.0.1,9401,16508.3505575,16508.4633862,1781632994.8053482,1781632994.815334,0.009985923767089844,,0,network_transfer,
1,KGC,C2,KGC->C2,MaskMsg,1,2,,23045,0.03231409999716561,http,78c0bfd4e5f6ed7d3bbc93c5c15a6c75cd75aad4ba10edfbdf5366b217243d9b,127.0.0.1,9402,16508.4718394,16508.5041535,1781632994.846837,1781632994.8569217,0.01008462905883789,,0,network_transfer,
1,KGC,C3,KGC->C3,MaskMsg,1,3,,22970,0.022677000000840053,http,fae8bcebff0128133aa604bf8bdb5d865f0f1a72ae586eaf07f682096fea6401,127.0.0.1,9403,16508.5115816,16508.5342586,1781632994.8780022,1781632994.8870454,0.009043216705322266,,0,network_transfer,
1,KGC,C4,KGC->C4,MaskMsg,1,4,,22859,0.010967800000798889,http,b2b175fa590ffda9112a149fc25b1b8734efb034553b349be6c7a8e371209128,127.0.0.1,9404,16508.541564,16508.5525318,1781632994.8962646,1781632994.9052496,0.008985042572021484,,0,network_transfer,
1,KGC,C5,KGC->C5,MaskMsg,1,5,,24000,0.022141299999930197,http,12b30efbddbcdfdcdafd452dae7dbe23ea8b67211062b2dcfb8a8d93695dc4b9,127.0.0.1,9405,16508.5602849,16508.5824262,1781632994.9260902,1781632994.9351017,0.009011507034301758,,0,network_transfer,
1,C2,CS,C2->CS,UpMsg,1,2,,2110269,0.23293460000058985,http,d76d60ff92a08e10d3782d08828e3d25e51cef64a55c2f60b80ee2fbc23fb81b,127.0.0.1,9300,16541.0907476,16541.3236822,1781633027.6667514,1781633027.6758735,0.009122133255004883,,0,network_transfer,
1,C5,CS,C5->CS,UpMsg,1,5,,2110294,0.23091650000060326,http,1a9e43bf95cc437d3165d1c168072954d9956e72a6717ab1045c53cd1606ceac,127.0.0.1,9300,16541.1268049,16541.3577214,1781633027.701666,1781633027.7088535,0.007187366485595703,,0,network_transfer,
1,C4,CS,C4->CS,UpMsg,1,4,,2110341,0.23383160000230419,http,fd0fbb7fe2865474294e9b5b98376d277b7c9563633c4c5e71e98c79e9dce01f,127.0.0.1,9300,16541.1483212,16541.3821528,1781633027.7223456,1781633027.7343488,0.012003183364868164,,0,network_transfer,
1,C3,CS,C3->CS,UpMsg,1,3,,2110282,0.2388557000012952,http,6f3af5041763c73a4d619ad668fa6effe0e11dc1bdfed92ac7f19141986f5229,127.0.0.1,9300,16541.1919485,16541.4308042,1781633027.773508,1781633027.783058,0.009549856185913086,,0,network_transfer,
1,C2,KGC,C2->KGC,UpMsg,1,2,,2110269,0.020995400001993403,http,d76d60ff92a08e10d3782d08828e3d25e51cef64a55c2f60b80ee2fbc23fb81b,127.0.0.1,9200,16541.3611593,16541.3821547,1781633027.7253454,1781633027.7343488,0.009003400802612305,,0,network_transfer,
1,C5,KGC,C5->KGC,UpMsg,1,5,,2110294,0.022387900000467198,http,1a9e43bf95cc437d3165d1c168072954d9956e72a6717ab1045c53cd1606ceac,127.0.0.1,9200,16541.3992904,16541.4216783,1781633027.7643483,1781633027.773508,0.00915980339050293,,0,network_transfer,
1,C4,KGC,C4->KGC,UpMsg,1,4,,2110341,0.02095519999784301,http,fd0fbb7fe2865474294e9b5b98376d277b7c9563633c4c5e71e98c79e9dce01f,127.0.0.1,9200,16541.4272777,16541.4482329,1781633027.7920513,1781633027.799696,0.0076446533203125,,0,network_transfer,
1,C1,CS,C1->CS,UpMsg,1,1,,2110288,0.2049397000009776,http,92e1f27305a1118ffda22d526a164fe2f5da64e7c0980289ed351a1c64bee101,127.0.0.1,9300,16541.429527,16541.6344667,1781633027.9778788,1781633027.9871216,0.009242773056030273,,0,network_transfer,
1,C3,KGC,C3->KGC,UpMsg,1,3,,2110282,0.030590599999413826,http,6f3af5041763c73a4d619ad668fa6effe0e11dc1bdfed92ac7f19141986f5229,127.0.0.1,9200,16541.4633065,16541.4938971,1781633027.8386576,1781633027.8436835,0.0050258636474609375,,0,network_transfer,
1,C1,KGC,C1->KGC,UpMsg,1,1,,2110288,0.039644500000576954,http,92e1f27305a1118ffda22d526a164fe2f5da64e7c0980289ed351a1c64bee101,127.0.0.1,9200,16541.6593919,16541.6990364,1781633028.044907,1781633028.0517046,0.0067975521087646484,,0,network_transfer,
1,CS,C1,CS->C1,AggMsg,1,1,,2109958,0.05683649999991758,http,273b13db206125760055da8d3c8d8afc98d7007abe0b9640fa8f1dedd787e68c,127.0.0.1,9401,16542.2190502,16542.2758867,1781633028.599522,1781633028.628299,0.028776884078979492,,0,network_transfer,
