round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,51,527.274932700002,http,8172aabde9511444161c3670d4350f42f51edcfcaaeb6b307255f4996e07ad0d,127.0.0.1,9300,16507.1750897,17034.4500224,1781632993.6717148,1781633520.797781,527.1260662078857,,1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.3365779999985534,http,c12021cf375e409a2384420e243a6929e007f43c2026fa88a4c226e46df70990,127.0.0.1,9200,16507.4897179,16507.8262959,1781632993.8644874,1781632994.1737132,0.30922579765319824,,1,end_to_end_with_processing,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.2708680000032473,http,94d2665c9216c64596de012fb5dd667eb31c4d08f9e25bfde1e944acdf179b0d,127.0.0.1,9200,16508.3132709,16508.5841389,1781632994.6812544,1781632994.9361017,0.25484728813171387,,1,end_to_end_with_processing,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,33.11570289999872,http,12126b7d6b5ebc1431194ee6348b5bae752572d486990e6ea708de81a3a91f0a,127.0.0.1,9401,16508.5856222,16541.7013251,1781632994.9407887,1781633028.0517046,33.11091589927673,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,32.799407400001655,http,ec06b9af3a9271626d3097a15187195fc4be29021623b54d3fbdf63c6db3eadf,127.0.0.1,9402,16508.5864767,16541.3858841,1781632994.9407887,1781633027.7383502,32.79756140708923,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,32.909665200000745,http,961623536ad110289e402ff79a9c1a9af20c6440c426feed6360c73e8a41a8bd,127.0.0.1,9403,16508.5873625,16541.4970277,1781632994.9407887,1781633027.848675,32.907886266708374,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,32.86358499999915,http,ade8f64301f3f815ccd6be615a32d8b9987bb0697c575cce8862810737fb3efa,127.0.0.1,9404,16508.5878564,16541.4514414,1781632994.9407887,1781633027.8026495,32.86186075210571,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,32.841201200000796,http,51cc788bb0e809fff56cf37ca125529a1a9a5732ef9f7df19f3d12fc400788d4,127.0.0.1,9405,16508.5887774,16541.4299786,1781632994.9407887,1781633027.7765281,32.83573937416077,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.27276179999898886,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,16541.7026823,16541.9754441,1781633028.0711877,1781633028.2344239,0.16323614120483398,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
1,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.016816499999549706,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,16541.9775488,16541.9943653,1781633028.3452067,1781633028.3452067,0.0,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
1,CS,KGC,CS->KGC,ModelMsg,1,,,77937,0.8499957000021823,http,a920ba1b801b27c186fa170ba10ea691f2b67bf0baa829cfa26f0114876f6cac,127.0.0.1,9200,16558.2244444,16559.0744401,1781633044.607408,1781633045.4264104,0.8190023899078369,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
2,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.17065079999883892,http,494d7aa3d35a496728511277f5f5abf861c2b3568748b6a1cd698a0430534f84,127.0.0.1,9200,16559.2849423,16559.4555931,1781633045.6575384,1781633045.8080497,0.1505112648010254,,1,end_to_end_with_processing,
2,CS,C1,CS->C1,TrainUploadReq,1,1,,194,33.80483309999909,http,fde9c79debb41e8c994af73831b185c756aaed674134f341ec6f3811d3aaf44f,127.0.0.1,9401,16559.4580066,16593.2628397,1781633045.813828,1781633079.6144795,33.80065155029297,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C2,CS->C2,TrainUploadReq,1,2,,194,33.67378149999786,http,f5e60e6e5496a190dfdad48d54dff4a9bfe6b9efd467fcb4487de7613ac7a3a3,127.0.0.1,9402,16559.4585909,16593.1323724,1781633045.813828,1781633079.484932,33.671103954315186,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C3,CS->C3,TrainUploadReq,1,3,,194,33.83403730000282,http,02f90ec2b045697370380ce49542a77398642ef7df9387b1ff4e999beff56a45,127.0.0.1,9403,16559.4594132,16593.2934505,1781633045.813828,1781633079.6449678,33.83113980293274,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C4,CS->C4,TrainUploadReq,1,4,,194,33.86203190000015,http,ab319bfc348a5b5babcbe91c487e65ce44d41bf76aed7726f25e70da296cdf2c,127.0.0.1,9404,16559.4600972,16593.3221291,1781633045.813828,1781633079.673836,33.860008001327515,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,C5,CS->C5,TrainUploadReq,1,5,,194,33.81864660000065,http,0b6ba853dfb28c27d4027552579d98ac41e4b62df398bb2354e081f2c0688932,127.0.0.1,9405,16559.4610126,16593.2796592,1781633045.8161387,1781633079.6318884,33.815749645233154,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
2,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.29534810000041034,http,ec536b417462bb658a4b0202b8f04e538bdec7b849e0c55d92fd1df6844b552a,127.0.0.1,9200,16593.3236125,16593.6189606,1781633079.6938174,1781633079.8722239,0.1784064769744873,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
2,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.023122000002331333,http,ec536b417462bb658a4b0202b8f04e538bdec7b849e0c55d92fd1df6844b552a,127.0.0.1,9200,16593.6237829,16593.6469049,1781633079.9976938,1781633079.9987128,0.0010190010070800781,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
2,CS,KGC,CS->KGC,ModelMsg,1,,,77937,0.847436200001539,http,56786299ead1d279c367cde3405527c7e169ca00cd411712cf3c6f11bb6db4d2,127.0.0.1,9200,16608.0951473,16608.9425835,1781633094.4869747,1781633095.2946799,0.8077051639556885,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
3,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.1671267000019725,http,5f471e9b229629da5af1aff0e8ec5b41ac529c76516645ade7ab1cec07f1b156,127.0.0.1,9200,16609.1700389,16609.3371656,1781633095.544535,1781633095.6898208,0.14528584480285645,,1,end_to_end_with_processing,
3,CS,C1,CS->C1,TrainUploadReq,1,1,,194,31.919839800000773,http,b6355588e1aa986f6f659d0e469c69bc7957b116e44a1083ca6c95549c32fd0f,127.0.0.1,9401,16609.3380785,16641.2579183,1781633095.6937864,1781633127.6090486,31.91526222229004,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
3,CS,C3,CS->C3,TrainUploadReq,1,3,,194,31.65317160000268,http,9889fe4e4fb0fc7d863befc0885e3d51d627e1c5accc9a9e63abb35409e3f5f8,127.0.0.1,9403,16609.3385393,16640.9917109,1781633095.6937864,1781633127.3415005,31.647714138031006,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
3,CS,C4,CS->C4,TrainUploadReq,1,4,,194,31.70854859999963,http,350017b27cc1fe424ea31067b3951e72671ae01d3b3f2a6648b05c64f3f9ecdb,127.0.0.1,9404,16609.3390053,16641.0475539,1781633095.6937864,1781633127.4001267,31.706340312957764,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
3,CS,C5,CS->C5,TrainUploadReq,1,5,,194,31.83097419999831,http,d0f61c3b2a579ead231b795ae9c1d13b07d96c988ff4906bafb4ddd8e4fd8baa,127.0.0.1,9405,16609.3397458,16641.17072,1781633095.7138212,1781633127.5224931,31.808671951293945,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
3,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.290259800000058,http,e26b7162aedea5bae9eaa444459f5993410839d9938d125f04af289584490971,127.0.0.1,9200,16641.2597884,16641.5500482,1781633127.6160505,1781633127.8129761,0.19692564010620117,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
3,CS,KGC,CS->KGC,CompensationReq,1,,,7,19.419220499999938,http,e26b7162aedea5bae9eaa444459f5993410839d9938d125f04af289584490971,127.0.0.1,9200,16641.5538078,16660.9730283,1781633127.9234757,1781633147.3069413,19.38346552848816,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
3,CS,KGC,CS->KGC,ModelMsg,1,,,77939,0.92526259999795,http,7560826e8ecfbfe7b4bb00b1ec02a160a4c66a79c4121e77d1a84b34ce3e4498,127.0.0.1,9200,16675.2619701,16676.1872327,1781633161.626524,1781633162.5394914,0.9129674434661865,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
4,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.19158759999845643,http,15c2a364a29168745bf3d757f09775cc25ee6020be55b1704ffc4d28a2f90d9d,127.0.0.1,9200,16676.3849306,16676.5765182,1781633162.754422,1781633162.9290524,0.17463040351867676,,1,end_to_end_with_processing,
4,CS,C1,CS->C1,TrainUploadReq,1,1,,194,34.11176710000291,http,50848ea2bb3be93a0c99e5c487d2d884109689a55ba26dbeea593b5ae8ff3af2,127.0.0.1,9401,16676.5776738,16710.6894409,1781633162.9340172,1781633197.0413554,34.107338190078735,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
4,CS,C2,CS->C2,TrainUploadReq,1,2,,194,34.48269159999836,http,e5083a46cc6974afa4af5e08e07c39ee11ebf059d52717509b9494865b9312f3,127.0.0.1,9402,16676.5783273,16711.0610189,1781633162.9340172,1781633197.4130297,34.47901248931885,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
4,CS,C3,CS->C3,TrainUploadReq,1,3,,194,34.39528520000022,http,ebf46da4828d5deec0cea18aad02220428f173d2aabbf39e9eca6a89ea5567f0,127.0.0.1,9403,16676.5788442,16710.9741294,1781633162.9340172,1781633197.3241882,34.39017105102539,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
4,CS,C4,CS->C4,TrainUploadReq,1,4,,194,34.3093501000003,http,acac4fa0fbf457b05aa266cc30381ed5b74676ae2ff0b79184c005e4f40772db,127.0.0.1,9404,16676.5794456,16710.8887957,1781633162.935019,1781633197.241186,34.306166887283325,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
4,CS,C5,CS->C5,TrainUploadReq,1,5,,194,34.801525000002584,http,fb5991d9b27a12a37e1fd78f543ecc592e003fab20e066aa51880160317a7f5a,127.0.0.1,9405,16676.5800459,16711.3815709,1781633162.935019,1781633197.7323306,34.797311544418335,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
4,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.26861380000264035,http,4e3d6a9210f95d69b9d73df9e142e87ce8457e9af9c56507150f5a4b119b1342,127.0.0.1,9200,16711.3831883,16711.6518021,1781633197.7486494,1781633197.9105954,0.16194605827331543,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
4,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.030612400001700735,http,4e3d6a9210f95d69b9d73df9e142e87ce8457e9af9c56507150f5a4b119b1342,127.0.0.1,9200,16711.6552111,16711.6858235,1781633198.0312526,1781633198.0356085,0.004355907440185547,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
4,CS,KGC,CS->KGC,ModelMsg,1,,,77939,0.7566751999984263,http,372c9c8dd58a64e8317f413cd641308e0ae6be17a973bb1af010f503d43dd541,127.0.0.1,9200,16725.933375,16726.6900502,1781633212.3119664,1781633213.042444,0.7304775714874268,,1,end_to_end_with_processing,"KGC verifies final model, builds FinalTx, and may submit blockchain transaction"
5,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.16867959999945015,http,2357778d8f71324322e177bd9144b283a3e83a3f25944ab97e37b09f76fc08d9,127.0.0.1,9200,16726.919133,16727.0878126,1781633213.2831678,1781633213.4388537,0.1556859016418457,,1,end_to_end_with_processing,
5,CS,C1,CS->C1,TrainUploadReq,1,1,,194,34.87250889999996,http,095e90b38b0391f0730154a126bda526ac51428eb122abdd03c5aec4a574e06b,127.0.0.1,9401,16727.0888213,16761.9613302,1781633213.4440136,1781633248.3129575,34.86894392967224,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
