payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,49,103389691,2.587252900015301,1.2873363494873047,49,0,98.60009288787842
CompensationReq,10,71,19.5965456000049,19.39693593978882,0,10,6.771087646484375e-05
InitModel,5,3113431,0.1706672000036633,0.08425235748291016,5,0,2.9691991806030273
MaskMsg,50,1159209,1.1194818999974814,0.2694385051727295,50,0,1.1055078506469727
ModelBroadcast,49,3841118,1.2282916000112891,0.6471924781799316,49,0,3.663175582885742
ModelMsg,10,779371,9.515926000000036,9.260809898376465,0,10,0.7432661056518555
ModelSyncReq,1,198,0.007204800000181422,0.003000020980834961,1,0,0.0001888275146484375
ModelSyncResp,1,77776,0.007204800000181422,0.003000020980834961,1,0,0.0741729736328125
PublicKeyReq,5,75,0.1658177000026626,0.0,5,0,7.152557373046875e-05
RoundInitReq,10,3261,1.856013200002053,1.673644781112671,0,10,0.0031099319458007812
SetupReq,1,1331,0.3365779999985534,0.30922579765319824,0,1,0.0012693405151367188
ShareMsg,49,25077,0.9977374000045529,0.02731609344482422,49,0,0.02391529083251953
StartExperiment,1,51,527.274932700002,527.1260662078857,0,1,4.863739013671875e-05
TrainUploadReq,49,9511,1671.9667360000167,1671.774246454239,0,49,0.009070396423339844
UpMsg,98,206810566,4.399332300028618,0.8836867809295654,98,0,197.22992515563965
VerifyUploadsReq,10,71,2.9757777000049828,1.8182814121246338,0,10,6.771087646484375e-05
