round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,33.11771289999888
1,client_weight_compute,client aggregation weight,2,8.800001523923129e-06
1,client_local_train,local SGD training,2,0.36722889999873587
1,client_model_delta,weighted local model delta,2,0.0009232000011252239
1,client_quant_encode,fixed-point quantization and signed encoding,2,0.0001258000011148397
1,client_masking,xMask = x + m,2,3.100000321865082e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,2,28.270797599998332
1,client_cipher_hash,hash encrypted vector,2,0.031621400001313305
1,client_pedersen_commit,Pedersen vector commitment,2,3.775553300001775
1,client_receipt_sign,sign upload receipt,2,0.0004841999980271794
1,client_upload_pack,build upload message,2,0.02110710000124527
1,client_weight_compute,client aggregation weight,5,8.600000001024455e-06
1,client_local_train,local SGD training,5,0.37513319999925443
1,client_model_delta,weighted local model delta,5,0.0004695999996329192
1,client_quant_encode,fixed-point quantization and signed encoding,5,9.379999755765311e-05
1,client_masking,xMask = x + m,5,2.049999966402538e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,5,28.314774800001032
1,client_cipher_hash,hash encrypted vector,5,0.03786000000036438
1,client_pedersen_commit,Pedersen vector commitment,5,3.743747799999255
1,client_receipt_sign,sign upload receipt,5,0.000570500000321772
1,client_upload_pack,build upload message,5,0.02347800000279676
1,client_weight_compute,client aggregation weight,4,7.99999907030724e-06
1,client_local_train,local SGD training,4,0.37620000000242726
1,client_model_delta,weighted local model delta,4,0.0005459999993036035
1,client_quant_encode,fixed-point quantization and signed encoding,4,0.00010490000204299577
1,client_masking,xMask = x + m,4,6.529999882332049e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,28.46750659999816
1,client_cipher_hash,hash encrypted vector,4,0.03468849999990198
1,client_pedersen_commit,Pedersen vector commitment,4,3.616625999999087
1,client_receipt_sign,sign upload receipt,4,0.0005179000036150683
1,client_upload_pack,build upload message,4,0.02350310000110767
1,client_weight_compute,client aggregation weight,3,6.399997801054269e-06
