round,alpha,rootUp,ComAggHash,modelHashR,modelHashNext,auditRoot,sigFinal_len
1,0x8dc93336b0ad1a01b8a369fff944db15aa68d7f93544d61e180d3c0486162c81,0xe50fd378dd687fbdfdff601a84ce02a6cef27831bbb04dbed5a4e798604bcfea,0xe1cd75f5e5ffd5b10fe880de43b5d18c202b5cee97c9e5b87d32acd99a8d502f,0xbd170a15f3413ddac0da51878220ea053f21e2cd8a008095483f3790cb4ae1e2,0xe46a107b4e7356433c0cf38c0f88d162508f108f09f1da640bcc33552eee4348,0x260610598e151fbd764753810bcd255e44b94debc5fd331fb11906edac60a709,144
2,0xcebf91531161315e9d0a0932f2fc5a6f0a63a237a639caf1e7455e15c0918173,0x70d773284c4826d2cf2ea2a370e7c40dab950ec6a08274958e147ea5614aa06a,0x933019cf92d34ab426c817c6b3287df6a17ccb52817d01334afc120e3a80bebc,0xe46a107b4e7356433c0cf38c0f88d162508f108f09f1da640bcc33552eee4348,0x1d85c7ec88070a3f379004bb73292d687b2880f7a38ff1a7ce9036bfdeeba0d9,0x7798665fb63b7934e5863363cdfca313d94b73a12d93379b00a07b49bcf893af,142
3,0x42f9c4a23ca1c444f0799af6f5dff66826306cec2bb0c98a61a2b38ee4a38e48,0x51a821f53efa46fde6d6cec820c0d6d407e0e8de9c354e340cd0edaf5ed7be7c,0x9768b323cbeb8fbcf8c4693713736cbcae28ee07e2f60962ffab7c8727eebcdf,0x1d85c7ec88070a3f379004bb73292d687b2880f7a38ff1a7ce9036bfdeeba0d9,0x97b4db86ecc314f1ee6086dd2e4d2f5353e28c1159ca8b7787e25cbf78926e5b,0x4f00339af5cb2d160789b4811d1be89962888ed1165d4b7d0effbd8e7001f0e7,144
4,0x46c4a050e00288732ab8a7b5fc10eba5ccf31937b2b39955deb013c380a0c0df,0x247665b5b36795a44bceca7442de84136841e680acd0687433e7254a7e0ff8c4,0x4b81071f77816fc162c1da0ae3d25a84c4bba412e22e8a9dca69e2b73beb4184,0x97b4db86ecc314f1ee6086dd2e4d2f5353e28c1159ca8b7787e25cbf78926e5b,0x1f6cadb488f3f8523e7b77dbf088588e96b907a096b753f30b065fab53aa82b4,0xdec9e46d2875d12ba3b968180f50a8ab98672dea19df5cc157b10584d690e1e1,140
5,0x8b18d56b5727b62595f373a67bfcd4fdb51fd1adedc2e68d532f92ba7639a508,0xb7b5ea96fc7be2f884bc2ba93557201e521ea6ad2394c81d8489f7fca83b89d1,0x8fd9628a06ae7bdd0c0061d7eef7075ece7bfee10945250f869470c9dda23f56,0x1f6cadb488f3f8523e7b77dbf088588e96b907a096b753f30b065fab53aa82b4,0x7ff4790fe1c51dcccea696a36828123342b8a9a13fda68e4b4a717add1e400d0,0xad4a789ed3b837f9fbbe0ad9825bd6c7ca62af57f6195edd1abfc2f73cf36f26,140
6,0xb52e9d86cdda7a1d4a20f022df5b93360da3cfe540a171c02ee31140d4d266d3,0x2bc3d4f31c1899f6788691fd282dfe482ca219474fe80a590f6e1c8cad642b2b,0x20896b419733888432009783402acc842e4436b594e4bf7a2225794772c36480,0x7ff4790fe1c51dcccea696a36828123342b8a9a13fda68e4b4a717add1e400d0,0x531dc60d4242d9cac164f24ef73e264717b50196186599808a34285eff5e0156,0x40ecf939fd7c32bab793b931db22d5a39a73a5af0ed2727125d1eca02b1c6d6d,140
7,0x8f60b6c080951c1558b3ab578ff823565e8892ca5ad790377097e49ee69fe531,0xa7a6be75b48955107d7b0ebd25553b1809f41554b4002bbfd4991a4260beb7df,0xef9586114c5bcc50447974ce6fa25ed1ac60fd8350159d596ac30d4b6ea12d7a,0x531dc60d4242d9cac164f24ef73e264717b50196186599808a34285eff5e0156,0x3091458fcdff0ea979fc0f9e09561933f459a4315ea887ce5d672b3ad6813155,0x9d52d0f664d8e3e2f7c3ab9254bc3f2d61c154f4f97cd83c5bc275eb8b7eeb3b,142
8,0xd98cfe0750ad9a8114ce29a1e0b5a663c6bdc057fc7221c70ecc4f7eeb078da8,0xc0db4527dc28ce60e5ecc9145ce39a08286d4fad3ef63825cf8dbc24b5f54e60,0x1d33f8cc56db8f41c90513b7d3bf98f3ba476db107ee219caa6b0ef18c9fc78b,0x3091458fcdff0ea979fc0f9e09561933f459a4315ea887ce5d672b3ad6813155,0xd35027adae3804f598d3172bad67a64e1cadcac3b1da0a96ad93c0767c65677c,0xb7a7b54b034f8c6afba446472df4a6baa16a34d12d3e640f271cfe6fdd0ed72a,142
9,0x1ae30c14decc7c3fde3afd43a159e527fed446d756a35adc02568e1dddd2e164,0xee05106db4aad892423e971d80836f09b208e530ac323c1ea9c0ffcd7696386c,0x104ef4d8822b9e58e8231d3e1d33c6db0ad1e5363daeff5ded194b9bd9acad58,0xd35027adae3804f598d3172bad67a64e1cadcac3b1da0a96ad93c0767c65677c,0x8f2df4c23deb64679c7718a03b2312cf148c6a7e99ed887de161f5ae96099803,0x63b2da6165f6821af8627ffec2ee10b46d9d3ec0f0a31ef3c2843b5b93cb4869,142
10,0xc483e7c33814f5c1f2908c77c8ace0c90a24dc4fbad9fdc9a2f9cfca0fbce4aa,0xf1d82ac342ff863170b75f56fde013fed23aec6aee41c2ea87f291834fcca930,0xa626aa13660e3f52a9a82e496f1a02cccc3388dfce655c1bd0e9c7a53d8f3c8d,0x8f2df4c23deb64679c7718a03b2312cf148c6a7e99ed887de161f5ae96099803,0xec8beebeeb892fd53258cf2006539c88c4c8833dca2a9f47284b0782de5f037f,0x85d6a693fc242215d76299de60eb183cb5d8cf1ce50a34b801efd8e8598893cf,142
11,0x6fdefc66ca136a70ef7488695596231b0049d31e798211dc31c3ccac8b428954,0xda4138f24913de455bf7f1b49b6fc9b7a2b289165475563bb201bae17bddd70c,0x781103bdd8d5a2c02a031b0d5e2afec1c7b39f9d6f60d73019420debcba1438a,0xec8beebeeb892fd53258cf2006539c88c4c8833dca2a9f47284b0782de5f037f,0x814cb08fa5a03ce8057814531699b296eedfffeda02b62b54a183993d536b965,0xb0ea27d1b15c1f0294c6de94c2b7008d5e7d52f692b808dc14ccd72c376e3639,142
12,0x9a4a6254f9503362e03acfddfb251181d8cd9ded22539852a6ea19e5fac1709b,0x8945249b54bedacae3f161572a61103ef326fb999439607835790998d26b1126,0xde86e6c36e2bfc5512b0f168bd84e4783680e93d1245041baae3b1a7afc4926a,0x814cb08fa5a03ce8057814531699b296eedfffeda02b62b54a183993d536b965,0x8ffc8b372b6fcbe3779e4fceca5dedbdee26e5d65e74da27f858cecb405f815e,0x4f3e5dec48d3547b6adc2c26368f6a789406f4a7b51fcb1fb64766e86f8442da,142
13,0x47daae44bbccc133f44c4bc85ffbed6137dcb36910a5af69d85c123d93c4bfbb,0xd67c0c4b50721f03d20274e1c362462f475c14e6ae373ca8dcf2544abda1aea2,0x6bdec97d92467003934b8dc76dc98df3f8f7bad96d781c4012e21908def19c43,0x8ffc8b372b6fcbe3779e4fceca5dedbdee26e5d65e74da27f858cecb405f815e,0xdf101a1d21b43f2ca8d95a3a9f61a936e150b6c338791571a2e3f2505e8016eb,0x2e420bbcd61f9ae680fff7dfa30fe735cf6384571282cd43427f6426b6f1fc0c,140
14,0xdaae98af3c93980e09e376bd5afe9d3ca263490933885dbaa91e3bc289355406,0xb60cb49a3bf5df54c6224b38319253c1b880ff89c177c364bf60abab14b1d421,0x463fe1bfe7d22d64d2299b71dc023b58f0b1bd6f4956131fe9469e08b7ee48d3,0xdf101a1d21b43f2ca8d95a3a9f61a936e150b6c338791571a2e3f2505e8016eb,0xedf61cb8e566a3103569da3c282b8daa6076f99039cbe999b9949bb8da19fd08,0x3b41b2ed0d15acdce0cd1771622a407c4e61377a98a73d18b108903c1071a282,142
15,0xa390d177b084565a1b61643ee494ffeccbc612dae194941c10515c3f9cdec5df,0x812c42ca3eccd4df03e0a82ea7ce4d41742ed37753d863d8d1aea03a9cf0c5ef,0x16cde93f5f1728cb6f724487c5a94a87f9ab9ed97f41bfb058deafd7a1b1ea39,0xedf61cb8e566a3103569da3c282b8daa6076f99039cbe999b9949bb8da19fd08,0x7e0d5f21f88919bd17818d9310531d71f7be962ace0bee7573c023bbe6dd386c,0xb6f6782eb2d057cb74aba009fe8b20ee4b038657fcf4b7cc9b4815a0d4341fae,140
16,0xcacc3d0377b7c6ca6653e539605c80e4e2fc17a35e44c67c1cfe65dde86ee8f7,0x8f258213a9a22afe5f57cf918972c6c97b232a9e29f57b25e7a33b7a9a6d34ef,0x2fffcb44334b3f87de9cbdf4159fd07044277031612fb1b1cab9dcacd826c444,0x7e0d5f21f88919bd17818d9310531d71f7be962ace0bee7573c023bbe6dd386c,0x736dbdaf60eb785407e753c1a72e384e8e7a0492e25f178e699986ed20e6d4a7,0x42ecc492cf8476a406fd26fedf06f3dd54201a3b5de90a174b2c7daf1a88e69f,142
