round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
0,InitTx,197e937aab122673c7e34b04d5384e4ff8542be82c8b7c3ad40f611723057f2f,54,81994,0.044516704976558685,1
1,FinalTx,bac1350cf0fc896e9874573bfcf442375c6462966e157a5563aaedd83c7c7ad8,55,67565,0.037034861743450165,1
2,FinalTx,b1baa7686c739e62d131914b56e79063b076bbe37f4b710763ba76528927a04e,56,50465,0.03792717307806015,1
3,FinalTx,289f65ec0dd4e10a9ccfd8bd563f790dc345f1766b64130c371c30de07b41597,57,50465,0.04144374281167984,1
4,FinalTx,1ddedbe18a4a41705b4543ff92f30e8658849cf336a511d5a3b7df299e7b4140,58,50477,0.03926330804824829,1
5,FinalTx,8b940bef96d0fefa5417b5ef9831b98f5325919d4255f515b4c6c68cc9384666,59,50453,0.036786019802093506,1
6,FinalTx,a246b1d31718ee4f5c1f9fdbc5e74d8d00297e7c9dcd39f9e408c07799668247,60,50453,0.03592168539762497,1
7,FinalTx,9483fa57f9cdc4d34a2d0dc08d2c9963a4dfce74c7885fc0b8a797d4be806f4d,61,50465,0.03484533727169037,1
8,FinalTx,dc5d4b2864999acc979a6973cd254763877eef016b44fdf94f2f089a3f0696b7,62,50477,0.03688710182905197,1
9,FinalTx,b57f8138d3fa8811e2a163c027a883c10716e1828ee7cfd88a5bbd1b28318219,63,50477,0.036158718168735504,1
10,FinalTx,ec980bc51b9fac7ab9ac06433cda5760d9b808f696669319b77e4ae55bb0a628,64,50477,0.037941619753837585,1
11,FinalTx,876148dae168e3a1b5006299614535bfe2adcd1d7aa249996589d37a30a64316,65,50453,0.03636861592531204,1
12,FinalTx,56d4aa1cbbd906da5a2445156f97840bfc2bb99ab971a891a847a01b66f2547f,66,50477,0.03592463582754135,1
13,FinalTx,062ec910f61a18e1cf645de8926274fdef155e89afd4cc42a2dc7712f71b7042,67,50465,0.03631541132926941,1
14,FinalTx,1d01f595feb21f27d05a6c7fb8bf0d8a794bd0556627ca2907cf0cdde37da482,68,50465,0.038952745497226715,1
15,FinalTx,3bc7328080ce70756cf941f25b9df86b1f28d08de6edebfdc504d292523a14c1,69,50465,0.0360504686832428,1
16,FinalTx,8efedfdb9207d9e05d531819f3f1c617f8e45c2ceb5a624bea86a44f45ee50d7,70,50465,0.03765018284320831,1
17,FinalTx,ab4b97e7ff60ce2ded62d360df54e19a5bdd446a309cd5d036e3c5d6b0c6ef95,71,50477,0.03847190737724304,1
18,FinalTx,a1b379d80cf630dad3017154b01b50de3c30752b7cc828217ba6daf2134c665e,72,50477,0.03634951263666153,1
19,FinalTx,ed4b0c7e5f811115cea4234413d70a0a68a244b806d7b6d6e9ef6d50e41e85d5,73,50477,0.04430987685918808,1
20,FinalTx,42ab0dcfe6ef816069935ca6eb2bc7203a0d7b0ce3dee9efa0a235503403ed87,74,50465,0.03556331992149353,1
21,FinalTx,5ff069e9ff927e716b6fecf6295e12114cb68454d5720c5b0d17dcfaf904c419,75,50441,0.03649241477251053,1
22,FinalTx,52cbe6d4ff0aae176eae8a82df8497d99be33fab8d322f3ec7823b2721832c7a,76,50477,0.03202654421329498,1
23,FinalTx,91ed31cce31ddcabbca01fc7b7c3fd43d90754a8cd2168f7610b1f2b04222c0f,77,50465,0.03498625010251999,1
24,FinalTx,5b4d79e34c2c6543789dc3b4aa0ad4816d0957a63a5dc8036a1ec48296bf7837,78,50477,0.03535010665655136,1
25,FinalTx,6addba2f1b4c32bba833caed1644500e7dcd9b5acba6869d401208578847cc0e,79,50477,0.036977723240852356,1
