round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,47,1800.1005402207375,error,,127.0.0.1,9300,66050118.95346709,66051919.054007314,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,C1,CS->C1,PublicKeyReq,1,1,,15,0.004157841205596924,http,758b04e41b6869d67281b7d6f834bf3d8373a8d500f4be10e7a62e35957a48f4,127.0.0.1,9401,66050118.958671905,66050118.96282975,1782911862.8940902,1782911862.8941498,5.9604644775390625e-05,,0,network_transfer,
0,CS,C2,CS->C2,PublicKeyReq,1,2,,15,0.002761825919151306,http,79f435775552f2bbc12a870e9213a1c6ea9de85c6feaf0aaf3478fffe5ff2c67,127.0.0.1,9402,66050118.96379948,66050118.9665613,1782911862.897887,1782911862.89795,6.29425048828125e-05,,0,network_transfer,
0,CS,C3,CS->C3,PublicKeyReq,1,3,,15,0.0019132867455482483,http,bc85871f3c24777f7161df299ddd423e1036a39a4d53512ef616fd298da223e8,127.0.0.1,9403,66050118.9673203,66050118.96923359,1782911862.9008741,1782911862.900927,5.2928924560546875e-05,,0,network_transfer,
0,CS,C4,CS->C4,PublicKeyReq,1,4,,15,0.0020506158471107483,http,431912657f5cc3ba0e4820eba063912654e904333810739608789b5366e5f64f,127.0.0.1,9404,66050118.96955388,66050118.971604496,1782911862.9031672,1782911862.9032266,5.936622619628906e-05,,0,network_transfer,
0,CS,C5,CS->C5,PublicKeyReq,1,5,,15,0.002298995852470398,http,055994d27ba576357251b8200baacc23f7d721eb70a07eec18fdc96b063536d3,127.0.0.1,9405,66050118.971937455,66050118.97423645,1782911862.9055903,1782911862.9056416,5.125999450683594e-05,,0,network_transfer,
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.3428482860326767,http,f074554899ce5d53b9541751186f39a52e168bf5003fdc4c8c591c399b2e1fb6,127.0.0.1,9200,66050118.974659406,66050119.31750769,1782911862.9082677,1782911863.2390673,0.33079957962036133,,1,end_to_end_with_processing,
0,CS,C1,CS->C1,InitModel,1,1,,622690,0.028690963983535767,http,ac5e6285f7c06148d11a7f11ee49c87d765b36832eea61ef9582a1e97226de27,127.0.0.1,9401,66050119.3558959,66050119.38458686,1782911863.2914598,1782911863.3161669,0.02470707893371582,,0,network_transfer,
0,CS,C2,CS->C2,InitModel,1,2,,622691,0.04354003816843033,http,385151c6fa8118a36bbe8d3f4853c051685fe423fd9f08798fe5052353b57d37,127.0.0.1,9402,66050119.410247795,66050119.45378783,1782911863.3497875,1782911863.385219,0.035431623458862305,,0,network_transfer,
0,CS,C3,CS->C3,InitModel,1,3,,622691,0.03760529309511185,http,8c84ae2df3aabcd60160919fa804587b3b2fb6ec58b29eed7ab727a168ced6de,127.0.0.1,9403,66050119.478395104,66050119.5160004,1782911863.4157214,1782911863.4473464,0.03162503242492676,,0,network_transfer,
0,CS,C4,CS->C4,InitModel,1,4,,622692,0.04175127297639847,http,ff82987e0919552be76f9d7b90440a3b6b2d59efdb7081b341d39cef20548ce1,127.0.0.1,9404,66050119.540892534,66050119.58264381,1782911863.4798462,1782911863.5140092,0.03416299819946289,,0,network_transfer,
0,CS,C5,CS->C5,InitModel,1,5,,622691,0.040588878095149994,http,2c878ae3244025348fe04113c46ae5f9d4d0265de3266fba07fe23ca18692af0,127.0.0.1,9405,66050119.612335995,66050119.65292487,1782911863.5518887,1782911863.5842705,0.03238177299499512,,0,network_transfer,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.33434445410966873,http,4f50dcca889cae8df466fcb28bf159ab9ee0df789b3b54f155c7c9f96e7d258c,127.0.0.1,9200,66050121.31794854,66050121.652293,1782911865.2517164,1782911865.5837872,0.33207082748413086,,1,end_to_end_with_processing,
1,KGC,C1,KGC->C1,MaskMsg,1,1,,23017,0.023026682436466217,http,277edc69f1f45e2210d21a73b5ae33147a3c38bcd806e6b76c60cd86ae594f6e,127.0.0.1,9401,66050121.41303931,66050121.436065994,1782911865.3476365,1782911865.367622,0.019985437393188477,,0,network_transfer,
1,KGC,C2,KGC->C2,MaskMsg,1,2,,23009,0.023394674062728882,http,482acc9258d27698ddd9b7517452a3887a30d632887862fdcc775d1315bb8212,127.0.0.1,9402,66050121.46580373,66050121.4891984,1782911865.3997307,1782911865.4207563,0.021025657653808594,,0,network_transfer,
1,KGC,C3,KGC->C3,MaskMsg,1,3,,22971,0.023163147270679474,http,758d7a356d70d85c53bd5139b308bf37e98d9eca8389a480dc93d90605bba66c,127.0.0.1,9403,66050121.51951139,66050121.542674534,1782911865.4534962,1782911865.4742017,0.020705461502075195,,0,network_transfer,
1,KGC,C4,KGC->C4,MaskMsg,1,4,,22960,0.025124818086624146,http,760d190becf0969f0255a96623f3630e084ea4b0a7677b7da26f85008841dedf,127.0.0.1,9404,66050121.5725678,66050121.59769262,1782911865.5065851,1782911865.529177,0.022591829299926758,,0,network_transfer,
1,KGC,C5,KGC->C5,MaskMsg,1,5,,24017,0.02306249737739563,http,7928d1abb2374f8860e4a83bb2e98cbd9228a25f5334daa0d1042af76889707b,127.0.0.1,9405,66050121.62807149,66050121.651133984,1782911865.5620792,1782911865.5826895,0.020610332489013672,,0,network_transfer,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.114086024463177,http,ca20e855afd104ce66be866b36cdd4d1bb74ee95f93a7d5c0c785d9eaee813c2,127.0.0.1,9401,66050121.65358224,66050143.76766826,1782911865.590617,1782911887.6986117,22.10799479484558,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,21.589375503361225,http,e3d1eda1b353db518dd0a746be8131d0a2562ff31507bbaee1fdab771d7f9998,127.0.0.1,9402,66050121.65469296,66050143.244068466,1782911865.5903378,1782911887.1751096,21.584771871566772,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,21.702073588967323,http,5f79460bf0e3d56eb12d66f99c50ee0da11468ae90e18fcfc050e1682f3b81c7,127.0.0.1,9403,66050121.655552894,66050143.35762648,1782911865.5911744,1782911887.289061,21.69788670539856,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,21.763991832733154,http,56315b26152138e4a119cb58ff74bc01f0ff01a04b11b458bf95f4bcc0ca2a28,127.0.0.1,9404,66050121.65637151,66050143.420363344,1782911865.5913384,1782911887.3517783,21.7604398727417,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,21.736650571227074,http,43db016760b73eea0ce87e2318449395350ca66ddd486782c65b43a9c7419a81,127.0.0.1,9405,66050121.65752611,66050143.394176684,1782911865.5914936,1782911887.325471,21.73397731781006,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,C2,CS,C2->CS,UpMsg,1,2,,2113379,0.024304382503032684,http,5d0e5a0a69a24b41b36e447e5f9ac45995f9dbb0626aaec4305006e2b5a844e2,127.0.0.1,9300,66050143.16651275,66050143.19081713,1782911887.1169856,1782911887.1222963,0.005310773849487305,,0,network_transfer,
1,C2,KGC,C2->KGC,UpMsg,1,2,,2113379,0.023648761212825775,http,5d0e5a0a69a24b41b36e447e5f9ac45995f9dbb0626aaec4305006e2b5a844e2,127.0.0.1,9200,66050143.21856258,66050143.24221134,1782911887.1685946,1782911887.1738102,0.005215644836425781,,0,network_transfer,
1,C3,CS,C3->CS,UpMsg,1,3,,2113357,0.020814836025238037,http,11d008dc5e5484fd454409ebd88fa2346086fce29c21dca64a694eb37edfb279,127.0.0.1,9300,66050143.2861284,66050143.30694324,1782911887.2342474,1782911887.2384462,0.004198789596557617,,0,network_transfer,
1,C5,CS,C5->CS,UpMsg,1,5,,2113369,0.016713634133338928,http,3e78d52251bec76ca95fa5478cbadaa3b0ea367a756e5ab79bcaefb96a10239c,127.0.0.1,9300,66050143.330472976,66050143.34718661,1782911887.273995,1782911887.2786953,0.004700422286987305,,0,network_transfer,
1,C3,KGC,C3->KGC,UpMsg,1,3,,2113357,0.02135881781578064,http,11d008dc5e5484fd454409ebd88fa2346086fce29c21dca64a694eb37edfb279,127.0.0.1,9200,66050143.33476795,66050143.35612677,1782911887.2818987,1782911887.2877529,0.005854129791259766,,0,network_transfer,
1,C4,CS,C4->CS,UpMsg,1,4,,2113401,0.014614656567573547,http,64a85e89b9d86e28b25a424885c25173b9570fab0b97ed6166c3dc42c06e5f5d,127.0.0.1,9300,66050143.358129434,66050143.37274409,1782911887.3002317,1782911887.304288,0.004056215286254883,,0,network_transfer,
1,C5,KGC,C5->KGC,UpMsg,1,5,,2113369,0.01789255440235138,http,3e78d52251bec76ca95fa5478cbadaa3b0ea367a756e5ab79bcaefb96a10239c,127.0.0.1,9200,66050143.37459581,66050143.39248837,1782911887.3182127,1782911887.3240995,0.00588679313659668,,0,network_transfer,
1,C4,KGC,C4->KGC,UpMsg,1,4,,2113401,0.01800192892551422,http,64a85e89b9d86e28b25a424885c25173b9570fab0b97ed6166c3dc42c06e5f5d,127.0.0.1,9200,66050143.40080925,66050143.41881118,1782911887.3432128,1782911887.3503811,0.007168292999267578,,0,network_transfer,
1,C1,CS,C1->CS,UpMsg,1,1,,2113286,0.021073848009109497,http,dcb2b43a955608ad63592634922f9b783c21aee0ecd8856d128bea59c3b5cf49,127.0.0.1,9300,66050143.6939196,66050143.71499345,1782911887.643055,1782911887.6465178,0.0034627914428710938,,0,network_transfer,
1,C1,KGC,C1->KGC,UpMsg,1,1,,2113286,0.02243305742740631,http,dcb2b43a955608ad63592634922f9b783c21aee0ecd8856d128bea59c3b5cf49,127.0.0.1,9200,66050143.743011154,66050143.76544421,1782911887.6911924,1782911887.696994,0.005801677703857422,,0,network_transfer,
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.3135216236114502,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66050143.76923095,66050144.08275257,1782911887.7025316,1782911887.9314303,0.2288987636566162,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
