round,sender,receiver,link,payload_type,messages,client_id,worker_id,bytes,actual_seconds,status,ack_sha256,receiver_host,receiver_port,send_start_time,send_end_time,server_receive_time,server_response_time,process_seconds,error,includes_processing,time_category,note
0,Launcher,CS,Launcher->CS,StartExperiment,1,,,47,1800.1005402207375,error,,127.0.0.1,9300,66050118.95346709,66051919.054007314,,,,TimeoutError('timed out'),1,experiment_total,StartExperiment waits for the full CS-driven distributed experiment to finish
0,CS,KGC,CS->KGC,SetupReq,1,,,1331,0.3428482860326767,http,f074554899ce5d53b9541751186f39a52e168bf5003fdc4c8c591c399b2e1fb6,127.0.0.1,9200,66050118.974659406,66050119.31750769,1782911862.9082677,1782911863.2390673,0.33079957962036133,,1,end_to_end_with_processing,
1,CS,KGC,CS->KGC,RoundInitReq,1,,,326,0.33434445410966873,http,4f50dcca889cae8df466fcb28bf159ab9ee0df789b3b54f155c7c9f96e7d258c,127.0.0.1,9200,66050121.31794854,66050121.652293,1782911865.2517164,1782911865.5837872,0.33207082748413086,,1,end_to_end_with_processing,
1,CS,C1,CS->C1,TrainUploadReq,1,1,,194,22.114086024463177,http,ca20e855afd104ce66be866b36cdd4d1bb74ee95f93a7d5c0c785d9eaee813c2,127.0.0.1,9401,66050121.65358224,66050143.76766826,1782911865.590617,1782911887.6986117,22.10799479484558,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C2,CS->C2,TrainUploadReq,1,2,,194,21.589375503361225,http,e3d1eda1b353db518dd0a746be8131d0a2562ff31507bbaee1fdab771d7f9998,127.0.0.1,9402,66050121.65469296,66050143.244068466,1782911865.5903378,1782911887.1751096,21.584771871566772,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C3,CS->C3,TrainUploadReq,1,3,,194,21.702073588967323,http,5f79460bf0e3d56eb12d66f99c50ee0da11468ae90e18fcfc050e1682f3b81c7,127.0.0.1,9403,66050121.655552894,66050143.35762648,1782911865.5911744,1782911887.289061,21.69788670539856,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C4,CS->C4,TrainUploadReq,1,4,,194,21.763991832733154,http,56315b26152138e4a119cb58ff74bc01f0ff01a04b11b458bf95f4bcc0ca2a28,127.0.0.1,9404,66050121.65637151,66050143.420363344,1782911865.5913384,1782911887.3517783,21.7604398727417,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,C5,CS->C5,TrainUploadReq,1,5,,194,21.736650571227074,http,43db016760b73eea0ce87e2318449395350ca66ddd486782c65b43a9c7419a81,127.0.0.1,9405,66050121.65752611,66050143.394176684,1782911865.5914936,1782911887.325471,21.73397731781006,,1,end_to_end_with_processing,"TrainUploadReq includes client-side sync check, local training, encryption, commitment, and UpMsg sends"
1,CS,KGC,CS->KGC,VerifyUploadsReq,1,,,7,0.3135216236114502,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66050143.76923095,66050144.08275257,1782911887.7025316,1782911887.9314303,0.2288987636566162,,1,end_to_end_with_processing,KGC verifies upload signatures and builds rootUp
1,CS,KGC,CS->KGC,CompensationReq,1,,,7,0.007670179009437561,http,b244c53fcd627a24c82563c4a800c51a4246ec9efbb0e6b6d22dab146d7ff3d5,127.0.0.1,9200,66050144.08322237,66050144.090892546,1782911888.0166812,1782911888.019824,0.003142833709716797,,1,end_to_end_with_processing,KGC computes dropout compensation; includes computation time
