payload_type,count,total_bytes,total_actual_seconds,total_process_seconds,network_transfer_count,processing_request_count,total_MB
AggMsg,248,524032499,6.0582786574959755,2.2353131771087646,248,0,499.7563352584839
CompensationReq,50,391,36.55266173183918,36.29753661155701,0,50,0.00037288665771484375
InitModel,5,3113455,0.1921764463186264,0.1583085060119629,5,0,2.969222068786621
MaskMsg,250,5797616,5.453582860529423,4.838713645935059,250,0,5.5290374755859375
ModelBroadcast,248,19441116,8.576031006872654,7.84712290763855,248,0,18.54049301147461
ModelMsg,50,3896901,93.92480535805225,93.73914217948914,0,50,3.716374397277832
ModelSyncReq,2,398,0.017558708786964417,0.010152816772460938,2,0,0.0003795623779296875
ModelSyncResp,2,155559,0.017558708786964417,0.010152816772460938,2,0,0.14835262298583984
PublicKeyReq,5,75,0.013182565569877625,0.000286102294921875,5,0,7.152557373046875e-05
RoundInitReq,50,16341,16.09292931109667,15.973418712615967,0,50,0.015583992004394531
SetupReq,1,1331,0.3428482860326767,0.33079957962036133,0,1,0.0012693405151367188
ShareMsg,248,127436,0.6314814239740372,0.08661007881164551,248,0,0.12153244018554688
StartExperiment,1,47,1800.1005402207375,0.0,0,1,4.482269287109375e-05
TrainUploadReq,248,48315,5500.637690037489,5499.474352359772,0,248,0.04607677459716797
UpMsg,496,1048229390,9.820308536291122,2.3708713054656982,496,0,999.6694469451904
VerifyUploadsReq,50,391,13.665664575994015,9.23639702796936,0,50,0.00037288665771484375
