round,test_loss,test_accuracy,effective_clients,dropout_clients
0,2.309904888817708,0.1009,0,0
1,2.5058990468158666,0.1453,5,0
2,2.1658952489170233,0.2794,5,0
3,1.7323911169663884,0.5577,5,0
4,1.3060623048019895,0.5916,5,0
5,1.1588248275032382,0.6597,5,0
6,0.9792729629569848,0.7014,5,0
7,0.8332110683600625,0.7147,5,0
8,0.7098391576497672,0.7519,5,0
9,0.6855201980777246,0.7471,5,0
10,0.6749492077726257,0.7594,4,1
11,0.5871019663644578,0.7815,5,0
12,0.5085087516682297,0.8126,5,0
13,0.4649517434063036,0.8256,5,0
14,0.43014703384788855,0.8553,5,0
15,0.38607923317294407,0.8701,5,0
16,0.35996500867204273,0.8824,5,0
17,0.3574552754982716,0.8835,5,0
18,0.3514832440005632,0.8736,5,0
19,0.32582857673111915,0.8876,5,0
20,0.3361624526034494,0.8766,5,0
21,0.3045187973672955,0.9025,5,0
22,0.2919676265361376,0.8998,5,0
23,0.27214873440640425,0.911,5,0
24,0.2763193353228188,0.9078,5,0
25,0.35130988851817246,0.8876,4,1
26,0.2789997264811107,0.9012,5,0
27,0.28759486142741186,0.9027,5,0
28,0.24861876272088462,0.9208,5,0
29,0.2426148579700239,0.919,5,0
30,0.23183080861252336,0.9234,5,0
31,0.2194802314454389,0.9283,5,0
32,0.22283644088016108,0.9266,5,0
33,0.22498338769978504,0.9244,5,0
34,0.21417717386343935,0.9314,5,0
35,0.2168732238572816,0.9276,5,0
36,0.21170393297527743,0.9284,5,0
37,0.20426730867454135,0.9336,5,0
38,0.22742676873044174,0.9223,5,0
39,0.20028203210464413,0.9329,5,0
40,0.19460632790828702,0.9354,5,0
41,0.19046307216551128,0.9363,5,0
42,0.19299647088682875,0.9343,5,0
43,0.18357996582427824,0.9367,5,0
44,0.18361605745294654,0.9393,5,0
45,0.18971883098234288,0.9361,5,0
46,0.1961088813835391,0.9334,5,0
47,0.18951157307050556,0.9354,5,0
48,0.17009401783875597,0.9413,5,0
49,0.1999664882713158,0.9368,5,0
50,0.18736795342351967,0.9359,5,0
