round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.116301648318768
1,client_weight_compute,client aggregation weight,2,1.099705696105957e-05
1,client_local_train,local SGD training,2,3.2370597794651985
1,client_model_delta,weighted local model delta,2,0.0005161166191101074
1,client_quant_encode,fixed-point quantization and signed encoding,2,9.986013174057007e-05
1,client_masking,xMask = x + m,2,4.0434300899505615e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.180772930383682
1,client_cipher_hash,hash encrypted vector,2,0.023825041949748993
1,client_pedersen_commit,Pedersen vector commitment,2,2.029639020562172
1,client_receipt_sign,sign upload receipt,2,0.0005763322114944458
1,client_upload_pack,build upload message,2,0.0107196643948555
1,client_weight_compute,client aggregation weight,3,9.156763553619385e-06
1,client_local_train,local SGD training,3,3.3158275559544563
1,client_model_delta,weighted local model delta,3,0.0005639642477035522
1,client_quant_encode,fixed-point quantization and signed encoding,3,0.00010925531387329102
1,client_masking,xMask = x + m,3,4.070252180099487e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.252483382821083
1,client_cipher_hash,hash encrypted vector,3,0.02312517911195755
1,client_pedersen_commit,Pedersen vector commitment,3,1.996206134557724
1,client_receipt_sign,sign upload receipt,3,0.0005875900387763977
1,client_upload_pack,build upload message,3,0.011733561754226685
1,client_weight_compute,client aggregation weight,5,7.972121238708496e-06
1,client_local_train,local SGD training,5,3.3295839056372643
1,client_model_delta,weighted local model delta,5,0.0005176141858100891
1,client_quant_encode,fixed-point quantization and signed encoding,5,0.00010351836681365967
1,client_masking,xMask = x + m,5,4.696846008300781e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.233302488923073
1,client_cipher_hash,hash encrypted vector,5,0.022947371006011963
1,client_pedersen_commit,Pedersen vector commitment,5,2.0469821095466614
1,client_receipt_sign,sign upload receipt,5,0.0006052255630493164
1,client_upload_pack,build upload message,5,0.011378258466720581
1,client_weight_compute,client aggregation weight,4,7.815659046173096e-06
1,client_local_train,local SGD training,4,3.269553504884243
1,client_model_delta,weighted local model delta,4,0.0005161240696907043
1,client_quant_encode,fixed-point quantization and signed encoding,4,0.00010079145431518555
1,client_masking,xMask = x + m,4,3.6656856536865234e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.297587133944035
1,client_cipher_hash,hash encrypted vector,4,0.023367255926132202
1,client_pedersen_commit,Pedersen vector commitment,4,2.0698570236563683
1,client_receipt_sign,sign upload receipt,4,0.0005990713834762573
1,client_upload_pack,build upload message,4,0.011227667331695557
1,client_weight_compute,client aggregation weight,1,1.1272728443145752e-05
